epoch,train_loss,train_iou,val_loss,val_iou,lr
1,0.08005856461822987,0.21749956468120218,0.05577574819326401,0.013676045648753642,0.001
2,0.04387502716854215,0.3581315703690052,0.03519585132598877,0.6086403906345368,0.001
3,0.03333991803228855,0.3440508063882589,0.032294747233390805,0.6580556988716125,0.001
4,0.027598750218749045,0.41742804609239104,0.020670910738408564,0.44401185512542723,0.001
5,0.025872681103646756,0.4097876857034862,0.018346429988741874,0.6190089404582977,0.001
6,0.024407240794971585,0.4125095970928669,0.017564209923148156,0.41446407437324523,0.001
7,0.024433257663622497,0.4638210341334343,0.017052564211189745,0.6461232125759124,0.001
8,0.023021654319018127,0.4206585604697466,0.016362097486853598,0.5400458157062531,0.001
9,0.021053300984203816,0.5170172736048698,0.016781004145741463,0.5334987699985504,0.001
10,0.021318337135016917,0.4806627810001373,0.024531268700957298,0.36805819869041445,0.001
11,0.018563500512391327,0.5723710626363754,0.014198707416653633,0.6453259348869324,0.001
12,0.01854918128810823,0.5504237711429596,0.014756773412227631,0.5471728533506394,0.001
13,0.018679527472704648,0.5214658454060555,0.013970649242401123,0.5722513139247895,0.001
14,0.018322047498077153,0.5368726864457131,0.015161783806979657,0.5154845386743545,0.001
15,0.01865932052023709,0.504357273504138,0.01573333777487278,0.41116744577884673,0.001
16,0.017235045600682498,0.5536394260823727,0.013099501840770245,0.6169669687747955,0.001
17,0.017415181850083172,0.5405969485640526,0.013860747776925563,0.6452811241149903,0.001
18,0.017024823976680637,0.5446743488311767,0.013580819312483072,0.6003617763519287,0.001
19,0.01615171553567052,0.5572982639074325,0.013715863786637783,0.5973199069499969,0.001
20,0.023743790574371815,0.37888110242784023,0.01844441443681717,0.36145404875278475,0.001
21,0.01797554111108184,0.5151219740509987,0.013393511436879635,0.5893832564353942,0.001
22,0.017771263839676976,0.584049391746521,0.012276864424347878,0.6661101698875427,0.001
23,0.017882195999845862,0.527716513723135,0.011720771063119173,0.6470747590065002,0.001
24,0.015612035524100065,0.5855309054255485,0.01214519003406167,0.660233736038208,0.001
25,0.014605917129665613,0.5712827812880278,0.012020470015704632,0.6657374262809753,0.001
26,0.014181259088218212,0.6082447648048401,0.01144785126671195,0.6137040019035339,0.001
27,0.017097664601169526,0.519184260815382,0.012035095412284137,0.5766262233257293,0.001
28,0.017816336173564196,0.5184737570583821,0.014082799851894378,0.6840679585933686,0.001
29,0.0158873051404953,0.5476182587444782,0.011970826610922813,0.6146353662014008,0.001
30,0.01488032010383904,0.6092452488839626,0.011098984349519014,0.6779129385948182,0.001
31,0.015412157634273171,0.515943492949009,0.01198518080636859,0.5985095083713532,0.001
32,0.016366722388193013,0.5251921057701111,0.012879967782646417,0.6991310298442841,0.001
33,0.012714096996933221,0.6338680543005466,0.011079674866050482,0.6395256042480468,0.001
34,0.01394274183548987,0.6139755055308342,0.011210717353969812,0.5679902464151383,0.001
35,0.01569364930037409,0.49190031439065934,0.011230616737157107,0.5745704263448715,0.001
36,0.014022104162722825,0.5916332349181175,0.011059014033526183,0.694458681344986,0.001
