epoch,train_loss,train_iou,val_loss,val_iou,lr
1,0.07748071681708098,0.254024750366807,0.0650197446346283,0.0701322540640831,0.001
2,0.04342003669589758,0.3108312860131264,0.032096796110272406,0.23462540209293364,0.001
3,0.03161195293068886,0.3391631629317999,0.028578277677297592,0.4574489057064056,0.001
4,0.027416945435106754,0.3782711176201701,0.02669297717511654,0.16546378582715987,0.001
5,0.024892750289291145,0.39844411201775076,0.01923426389694214,0.5675559997558594,0.001
6,0.023505599470809102,0.4261941581964493,0.015092968940734863,0.5402088761329651,0.001
7,0.021968070603907108,0.5090163432061672,0.016243308596313,0.6588967800140381,0.001
8,0.022787796892225744,0.4100257262587547,0.0237771924585104,0.6091506958007813,0.001
9,0.021614930871874095,0.5336254611611366,0.019240927323698996,0.5104524672031403,0.001
10,0.01873371172696352,0.528791044652462,0.016599440574645997,0.5012479245662689,0.001
11,0.017470236169174314,0.6054861932992935,0.013404373079538345,0.594745260477066,0.001
12,0.016552244778722525,0.5971495315432549,0.013588174805045128,0.6501280426979065,0.001
13,0.018756150640547274,0.5068374177441001,0.015730895288288593,0.5281144171953202,0.001
14,0.017756466381251813,0.5299933601170779,0.013688975758850575,0.6045046478509903,0.001
15,0.01757071274332702,0.5656194105744362,0.01384994126856327,0.5608992516994477,0.001
16,0.017005285574123265,0.5577794961631298,0.01338038993999362,0.5668547213077545,0.001
17,0.015285616018809378,0.6107395082712174,0.013515228405594826,0.6656692862510681,0.001
18,0.015291829919442534,0.5762315765023232,0.012465161085128785,0.6753835558891297,0.001
19,0.01428571161814034,0.6170127719640732,0.012536488659679889,0.5399859488010407,0.001
20,0.021226699091494085,0.3824389178305864,0.01480344459414482,0.5679248809814453,0.001
21,0.016067832615226506,0.5527081467211247,0.010737995058298111,0.6119518041610718,0.001
22,0.016339533124119045,0.5977234929800034,0.012578846514225006,0.6939667403697968,0.001
23,0.01739750858396292,0.5607182137668133,0.011577924247831106,0.6615840077400208,0.001
24,0.015847078477963805,0.5613570220768451,0.016934542916715145,0.708678686618805,0.001
25,0.014563284744508565,0.5862526424229145,0.011518328171223401,0.6714850962162018,0.001
26,0.013152554351836442,0.6126136511564255,0.010205631330609321,0.6382424712181092,0.001
27,0.017329037981107832,0.5239715874195099,0.01166735151782632,0.571077162027359,0.001
28,0.015006863605231046,0.5973927304148674,0.013314411602914333,0.711463350057602,0.001
29,0.01457501812838018,0.5741315573453903,0.010708519164472819,0.6993197083473206,0.001
30,0.013905021641403437,0.6086370781064033,0.011181749776005745,0.6830197989940643,0.001
31,0.01568338379729539,0.5121197905391455,0.012344457022845746,0.5270983427762985,0.001
32,0.016200050059705973,0.5179124802350998,0.012350301258265972,0.6853513240814209,0.001
33,0.01314621523488313,0.6208911366760731,0.01252561155706644,0.66717649102211,0.001
34,0.015122149186208845,0.606769996881485,0.010389211121946573,0.6252285659313201,0.001
35,0.013972697244025768,0.5882602445781231,0.012465441785752773,0.503380972146988,0.001
36,0.012613926734775304,0.5854433119297028,0.01127439122647047,0.7029186844825744,0.001
37,0.01341000902466476,0.612835417687893,0.010681101121008396,0.6909535765647888,0.001
38,0.011899054469540715,0.6288034409284592,0.009962768852710724,0.6584802687168121,0.0005
39,0.011972728674300015,0.6635180175304413,0.009874275699257851,0.7051340162754058,0.0005
40,0.011475697264540941,0.648131326586008,0.0095183658413589,0.6290448069572449,0.0005
41,0.011130543099716306,0.6200707208365202,0.00933739561587572,0.6877814710140229,0.0005
42,0.011061345995403826,0.6503565222024917,0.009095284342765807,0.6589391112327576,0.0005
43,0.011189682129770517,0.6867831662297249,0.00941069247201085,0.6204245686531067,0.0005
44,0.010771310003474355,0.664451678097248,0.009031037054955959,0.6698114097118377,0.0005
45,0.013695110718254,0.6286897681653499,0.00917054247111082,0.6365133464336395,0.0005
46,0.01138759683817625,0.5803271606564522,0.009589140489697456,0.6915909111499786,0.0005
47,0.01085730524500832,0.670062218606472,0.009449421986937523,0.6699891328811646,0.0005
48,0.010915216500870883,0.6515925325453281,0.008883233834058046,0.6980181574821472,0.0005
