architecture,n_filters,dropout,learning_rate,best_val_iou,model_name
attention_resunet,16,0.1,0.003,0.5475385546684265,attention_resunet_n_filters16_dropout0.1_learning_rate0.003
attention_resunet,16,0.1,0.005,0.5560896813869476,attention_resunet_n_filters16_dropout0.1_learning_rate0.005
attention_resunet,16,0.2,0.001,0.5781903088092804,attention_resunet_n_filters16_dropout0.2_learning_rate0.001
attention_resunet,16,0.2,0.003,0.5274043083190918,attention_resunet_n_filters16_dropout0.2_learning_rate0.003
attention_resunet,16,0.2,0.005,0.4852278530597687,attention_resunet_n_filters16_dropout0.2_learning_rate0.005
attention_resunet,16,0.3,0.001,0.5068833112716675,attention_resunet_n_filters16_dropout0.3_learning_rate0.001
attention_resunet,16,0.3,0.003,0.5104077279567718,attention_resunet_n_filters16_dropout0.3_learning_rate0.003
attention_resunet,16,0.3,0.005,0.47703073620796205,attention_resunet_n_filters16_dropout0.3_learning_rate0.005
attention_resunet,32,0.1,0.001,0.6015766322612762,attention_resunet_n_filters32_dropout0.1_learning_rate0.001
attention_resunet,32,0.1,0.003,0.5528504610061645,attention_resunet_n_filters32_dropout0.1_learning_rate0.003
attention_resunet,32,0.1,0.005,0.566971480846405,attention_resunet_n_filters32_dropout0.1_learning_rate0.005
attention_resunet,32,0.2,0.001,0.5549765706062317,attention_resunet_n_filters32_dropout0.2_learning_rate0.001
attention_resunet,32,0.2,0.003,0.5283416628837585,attention_resunet_n_filters32_dropout0.2_learning_rate0.003
attention_resunet,32,0.2,0.005,0.5370746493339539,attention_resunet_n_filters32_dropout0.2_learning_rate0.005
attention_resunet,32,0.3,0.001,0.5390804350376129,attention_resunet_n_filters32_dropout0.3_learning_rate0.001
attention_resunet,32,0.3,0.003,0.39879167079925537,attention_resunet_n_filters32_dropout0.3_learning_rate0.003
attention_resunet,32,0.3,0.005,0.43728803396224974,attention_resunet_n_filters32_dropout0.3_learning_rate0.005
attention_resunet,64,0.1,0.001,0.6126907587051391,attention_resunet_n_filters64_dropout0.1_learning_rate0.001
attention_resunet,64,0.1,0.003,0.5824118256568909,attention_resunet_n_filters64_dropout0.1_learning_rate0.003
attention_resunet,64,0.1,0.005,0.45983214378356935,attention_resunet_n_filters64_dropout0.1_learning_rate0.005
attention_resunet,64,0.2,0.001,0.6112127900123596,attention_resunet_n_filters64_dropout0.2_learning_rate0.001
attention_resunet,64,0.2,0.003,0.5083414077758789,attention_resunet_n_filters64_dropout0.2_learning_rate0.003
attention_resunet,64,0.2,0.005,0.4318289577960968,attention_resunet_n_filters64_dropout0.2_learning_rate0.005
attention_resunet,64,0.3,0.001,0.5602408885955811,attention_resunet_n_filters64_dropout0.3_learning_rate0.001
attention_resunet,64,0.3,0.003,0.48137105703353883,attention_resunet_n_filters64_dropout0.3_learning_rate0.003
attention_resunet,64,0.3,0.005,0.5214707255363464,attention_resunet_n_filters64_dropout0.3_learning_rate0.005
