train_loss,train_iou,train_dice,val_loss,val_iou,val_dice
0.21111769862473012,0.18884759211578056,0.2585217371073668,0.17887314409017563,0.0004648230878774362,0.0009281710252071085
0.1316027246415615,0.018388402947607897,0.025433552739952216,0.14110008329153062,0.018093733802379573,0.030494029948022215
0.12323493175208569,0.04601825047306414,0.0623293486466013,0.15069851726293565,7.971218268787439e-10,7.971218268787439e-10
0.11359230019152164,0.07864617359604206,0.110682224668688,0.13084845691919328,5.513198169809774e-06,1.1025343332166093e-05
0.10852169953286647,0.083299708596273,0.11016492490877985,0.10502312555909157,1.2187953017384068e-06,2.4367629463450945e-06
0.10128343515098095,0.2773569256067276,0.3698585987091064,0.11068172454833984,0.3296286970376968,0.41218087673187254
0.13648902773857116,0.10955189967895211,0.1475738453305509,0.09816515445709229,0.06121447561308742,0.10660591814666986
0.11157344561070204,0.12398865899217917,0.1722838333166276,0.16654182076454163,0.10973077267408371,0.16541605889797212
0.10272844303399324,0.3018371917307377,0.399444130808115,0.10240615978837013,0.4172775149345398,0.522531533241272
0.09195269104093313,0.3355501893907785,0.4371534015983343,0.09465889781713485,0.4157914638519287,0.522823977470398
0.0960591210052371,0.32938013449311254,0.4328909799456596,0.11035204827785491,0.3577182024717331,0.4500251054763794
0.08426370434463024,0.3587500613182783,0.4630109898746014,0.0769730806350708,0.41527205109596255,0.5038220763206482
0.08845196198672056,0.3544978443533182,0.46252839341759683,0.16187631487846374,0.32769523859024047,0.43180498480796814
0.08589845858514308,0.3520317766815424,0.45742900734767317,0.08884046450257302,0.46866569519042967,0.5754493117332459
0.09020082913339138,0.3619410164654255,0.47615685164928434,0.25161751359701157,0.09190670549869537,0.15081733465194702
0.09198280032724142,0.3378017921000719,0.4465976819396019,0.18960027992725373,0.25787472873926165,0.3220996677875519
0.0892554035410285,0.3544182635843754,0.4663270592689514,0.09787759929895401,0.35413177609443663,0.4496020972728729
0.08327603153884411,0.332695534825325,0.4343622252345085,0.07888930886983872,0.38592501878738406,0.4811734020709991
0.08747515957802535,0.33452393002808095,0.44175258427858355,0.10830115377902985,0.3365728408098221,0.41475796699523926
0.09649269413203002,0.3334380485117435,0.442384172976017,0.0954421579837799,0.37501471638679507,0.44408552944660185
0.09654003176838159,0.3319165028631687,0.43886318132281305,0.12524645328521727,0.3143419921398163,0.41898698210716245
0.08454154673963785,0.3330589585006237,0.43456674218177793,0.1567831441760063,0.3070607855916023,0.42014445662498473
0.09258739240467548,0.3335000202059746,0.43554249703884124,0.16373520642518996,0.18836860954761506,0.27348845899105073
0.08783877175301313,0.32954796589910984,0.4287845119833946,0.11387816220521926,0.28884603679180143,0.36623057425022126
0.08692330177873372,0.34117960259318353,0.4492701679468155,0.11455320566892624,0.30379236340522764,0.3679090186953545
0.08686696253716945,0.35912542045116425,0.4663713201880455,0.08049762696027755,0.38509672284126284,0.47420411705970766
0.08199203498661518,0.3448451768606901,0.4434917837381363,0.08194257840514182,0.4392565429210663,0.545916622877121
0.07755083329975605,0.36255795881152153,0.4665206208825111,0.0799263745546341,0.40533311367034913,0.5108420431613923
0.0810084294527769,0.3754882298409939,0.488865727186203,0.07781685069203377,0.43756359815597534,0.5425477862358093
0.07695967182517052,0.39129075929522517,0.5055151805281639,0.0783635288476944,0.42576785683631896,0.5375797271728515
0.0785503413528204,0.383122144639492,0.49118223786354065,0.07135879769921302,0.43531686067581177,0.5390083312988281
0.07802857980132102,0.39632166028022764,0.5132850632071495,0.08830312192440033,0.44199309349060056,0.543157571554184
0.07470153737813234,0.39103573486208915,0.5047786958515644,0.09072965830564499,0.37244558334350586,0.4662773132324219
0.0812362750992179,0.3755014318972826,0.49706557095050813,0.08286604881286622,0.36295820474624635,0.44747069478034973
