loss,accuracy,jacard_coef,dice_coef,val_loss,val_accuracy,val_jacard_coef,val_dice_coef,lr
inf,0.4441505968570709,0.14604900777339935,0.24526633322238922,0.0394744873046875,0.8034502863883972,0.1469593048095703,0.25529617071151733,5e-05
inf,0.44325825572013855,0.152504101395607,0.2612779438495636,0.0384674072265625,0.740473747253418,0.16501538455486298,0.26596590876579285,5e-05
inf,0.4444362223148346,0.15645502507686615,0.262466698884964,0.03741455078125,0.7541739344596863,0.16905876994132996,0.28464794158935547,5e-05
inf,0.44490090012550354,0.15863029658794403,0.26613447070121765,0.0371246337890625,0.7383337020874023,0.1767907738685608,0.2953488528728485,5e-05
inf,0.4390237033367157,0.1426881104707718,0.24113203585147858,0.0365447998046875,0.7472855448722839,0.17258264124393463,0.29038262367248535,5e-05
inf,0.450497567653656,0.14948147535324097,0.25126856565475464,0.0356903076171875,0.792229950428009,0.15024614334106445,0.2600975036621094,5e-05
inf,0.44282156229019165,0.1552439033985138,0.265266090631485,0.0369415283203125,0.7400887608528137,0.17539694905281067,0.2953706979751587,5e-05
inf,0.44515088200569153,0.154604971408844,0.2619633376598358,0.0359954833984375,0.7927048802375793,0.1484774649143219,0.25769656896591187,5e-05
inf,0.4476798474788666,0.15971896052360535,0.27193471789360046,0.03533935546875,0.8445685505867004,0.11412392556667328,0.2042258232831955,5e-05
inf,0.4446903467178345,0.1520828902721405,0.2614648938179016,0.03656005859375,0.7940499186515808,0.14364488422870636,0.25059396028518677,5e-05
inf,0.4400455951690674,0.15438100695610046,0.2616836428642273,0.037872314453125,0.730152428150177,0.1766202300786972,0.29616326093673706,5e-05
inf,0.44652843475341797,0.1450936645269394,0.24914836883544922,0.0369415283203125,0.7898893356323242,0.1414901316165924,0.24709272384643555,5e-05
inf,0.4473397433757782,0.15402120351791382,0.2587486207485199,0.037689208984375,0.7694212794303894,0.15220029652118683,0.2629741430282593,5e-05
inf,0.44775471091270447,0.14914146065711975,0.25310981273651123,0.0373687744140625,0.7740058898925781,0.15274253487586975,0.26487112045288086,5e-05
