loss,accuracy,jacard_coef,dice_coef,val_loss,val_accuracy,val_jacard_coef,val_dice_coef,lr
inf,0.5722158551216125,0.14381201565265656,0.2429458200931549,0.0406951904296875,0.8034493327140808,0.14740774035453796,0.25597721338272095,5e-05
inf,0.5751541256904602,0.15502455830574036,0.26533278822898865,0.0390777587890625,0.7404813766479492,0.16541504859924316,0.26631084084510803,5e-05
inf,0.5759535431861877,0.13746052980422974,0.2342262864112854,0.037078857421875,0.7541936039924622,0.16844701766967773,0.2838841378688812,5e-05
inf,0.5737283825874329,0.14124320447444916,0.23952867090702057,0.0362548828125,0.7383868098258972,0.17479728162288666,0.2925790548324585,5e-05
inf,0.5622574687004089,0.14276914298534393,0.242454394698143,0.03497314453125,0.7473446726799011,0.1688498854637146,0.2852163314819336,5e-05
inf,0.5761529207229614,0.15467725694179535,0.2617485523223877,0.0325164794921875,0.7938531041145325,0.1466909646987915,0.25477123260498047,5e-05
inf,0.5753408074378967,0.152064248919487,0.2610461115837097,0.03399658203125,0.7440659403800964,0.16874884068965912,0.28607282042503357,5e-05
inf,0.5674812197685242,0.1496742218732834,0.25497549772262573,0.03134918212890625,0.798100471496582,0.14253869652748108,0.24873551726341248,5e-05
inf,0.5722251534461975,0.15313586592674255,0.26269814372062683,0.02840423583984375,0.8537464141845703,0.11037065833806992,0.19828036427497864,5e-05
inf,0.5769503712654114,0.14847420156002045,0.25636470317840576,0.03035736083984375,0.8055830001831055,0.13730204105377197,0.24091894924640656,5e-05
inf,0.5652055144309998,0.14829610288143158,0.25325828790664673,0.033477783203125,0.742987334728241,0.16521263122558594,0.28040751814842224,5e-05
inf,0.5708543062210083,0.14883115887641907,0.25471702218055725,0.02978515625,0.8094189763069153,0.13385416567325592,0.23537321388721466,5e-05
inf,0.5780406594276428,0.13569319248199463,0.23321795463562012,0.0307464599609375,0.7937021255493164,0.1425662338733673,0.24858137965202332,5e-05
inf,0.5692006945610046,0.1411079317331314,0.2417147159576416,0.0305938720703125,0.7957706451416016,0.14206905663013458,0.24866028130054474,5e-05
inf,0.5748613476753235,0.1398397982120514,0.23728814721107483,0.03375244140625,0.7388785481452942,0.1704806238412857,0.29128098487854004,5e-05
inf,0.5668207406997681,0.14708632230758667,0.2506028413772583,0.03333282470703125,0.7440655827522278,0.15106181800365448,0.251983106136322,5e-05
inf,0.5659146904945374,0.14530879259109497,0.24901796877384186,0.02455902099609375,0.9021720886230469,0.07713652402162552,0.1414252668619156,5e-05
inf,0.5711313486099243,0.15354087948799133,0.2611420154571533,0.0307769775390625,0.7946173548698425,0.14227409660816193,0.24880334734916687,5e-05
inf,0.5659776926040649,0.1476443111896515,0.24979917705059052,0.03292083740234375,0.7532170414924622,0.15578563511371613,0.2648124098777771,5e-05
inf,0.5746876001358032,0.14287112653255463,0.2463444173336029,0.02793121337890625,0.8524045944213867,0.10222914814949036,0.17866235971450806,5e-05
inf,0.571933388710022,0.14400528371334076,0.24494941532611847,0.0338134765625,0.7473389506340027,0.15770696103572845,0.26626908779144287,5e-05
inf,0.5734163522720337,0.15014129877090454,0.25814610719680786,0.0328826904296875,0.7565609812736511,0.1627935767173767,0.27992475032806396,5e-05
inf,0.5676336288452148,0.1509319543838501,0.2570340037345886,0.03292083740234375,0.7565574645996094,0.1592468023300171,0.2722771465778351,5e-05
inf,0.5792972445487976,0.14831629395484924,0.2535075843334198,0.03363037109375,0.7468916773796082,0.16268998384475708,0.2759154438972473,5e-05
inf,0.5699644088745117,0.1484282910823822,0.25185301899909973,0.03354644775390625,0.7448590397834778,0.16572898626327515,0.28136780858039856,5e-05
inf,0.581876814365387,0.14002305269241333,0.2398579716682434,0.03072357177734375,0.8082256317138672,0.12339626252651215,0.20853307843208313,5e-05
inf,0.5730452537536621,0.1533358097076416,0.26502683758735657,0.0314788818359375,0.7930386662483215,0.14343979954719543,0.24923332035541534,5e-05
inf,0.5743251442909241,0.13917912542819977,0.2405729591846466,0.03128814697265625,0.8040860295295715,0.1374603509902954,0.24029293656349182,2.5e-05
inf,0.5705943703651428,0.15106377005577087,0.2569675147533417,0.0311126708984375,0.8053181767463684,0.13761523365974426,0.239869624376297,2.5e-05
inf,0.566170871257782,0.15385368466377258,0.2624025046825409,0.0342254638671875,0.7451114654541016,0.17137271165847778,0.2924130856990814,2.5e-05
inf,0.5736840963363647,0.14947715401649475,0.25524598360061646,0.0328826904296875,0.7626174092292786,0.15714719891548157,0.2672523856163025,2.5e-05
inf,0.5661205649375916,0.14739421010017395,0.24818293750286102,0.03227996826171875,0.7998892664909363,0.12785908579826355,0.2171889841556549,2.5e-05
inf,0.5720648765563965,0.1381019949913025,0.2366766631603241,0.03214263916015625,0.800639808177948,0.14009878039360046,0.24520564079284668,2.5e-05
inf,0.5768068432807922,0.14147469401359558,0.24147385358810425,0.0301361083984375,0.8473761677742004,0.1120687872171402,0.20151856541633606,2.5e-05
