loss,accuracy,jacard_coef,dice_coef,val_loss,val_accuracy,val_jacard_coef,val_dice_coef,lr
inf,0.3162459433078766,0.15205445885658264,0.24824896454811096,0.056427001953125,0.16212622821331024,0.14758415520191193,0.24746756255626678,5e-05
inf,0.30458754301071167,0.14678677916526794,0.24590787291526794,0.0717976912856102,0.1593281477689743,0.15440791845321655,0.26684489846229553,5e-05
inf,0.3104325830936432,0.15669319033622742,0.26260706782341003,0.08184814453125,0.20398299396038055,0.18526773154735565,0.291361927986145,5e-05
inf,0.3156225085258484,0.15588298439979553,0.2548750936985016,0.0931803360581398,0.20710182189941406,0.20038427412509918,0.33154138922691345,5e-05
inf,0.3106979727745056,0.15100690722465515,0.2501830458641052,0.1085408553481102,0.16059589385986328,0.1547178477048874,0.2523292303085327,5e-05
inf,0.3137633502483368,0.16101662814617157,0.26792511343955994,0.1093953475356102,0.21396510303020477,0.20898793637752533,0.34326520562171936,5e-05
inf,0.31411853432655334,0.16377191245555878,0.27247607707977295,0.1274617463350296,0.12365499883890152,0.12215250730514526,0.2072157859802246,5e-05
inf,0.3140300214290619,0.15819592773914337,0.25976496934890747,0.1202392578125,0.2087351530790329,0.20584112405776978,0.3389538824558258,5e-05
inf,0.3070965111255646,0.14934471249580383,0.24830865859985352,0.127685546875,0.16602008044719696,0.16713422536849976,0.28596213459968567,5e-05
inf,0.31545186042785645,0.15775033831596375,0.2581356167793274,0.1274210661649704,0.17187340557575226,0.16857419908046722,0.277931809425354,5e-05
inf,0.31202128529548645,0.161136195063591,0.26775220036506653,0.120849609375,0.21600310504436493,0.2098778933286667,0.3373904228210449,5e-05
inf,0.3152361512184143,0.15750455856323242,0.26103466749191284,0.1213582381606102,0.21178309619426727,0.2015165537595749,0.313740998506546,2.5e-05
inf,0.3114032447338104,0.1535588800907135,0.25359418988227844,0.1405029296875,0.08635807037353516,0.08568378537893295,0.15073943138122559,2.5e-05
inf,0.3128321170806885,0.1591695100069046,0.26298728585243225,0.13031005859375,0.16572856903076172,0.16367067396640778,0.2714085876941681,2.5e-05
inf,0.3089667856693268,0.1551482230424881,0.26171496510505676,0.1253458708524704,0.19546031951904297,0.19425831735134125,0.32044339179992676,2.5e-05
inf,0.31536275148391724,0.15823589265346527,0.26100611686706543,0.1242268905043602,0.20710182189941406,0.2053917795419693,0.3382682502269745,2.5e-05
inf,0.31546276807785034,0.1559714376926422,0.2573128938674927,0.1258951872587204,0.1993824690580368,0.1987711638212204,0.3294229209423065,2.5e-05
inf,0.3148610591888428,0.1584770828485489,0.2626683712005615,0.131591796875,0.16902987658977509,0.16524453461170197,0.2709403932094574,2.5e-05
inf,0.3111474812030792,0.1509808599948883,0.2477768361568451,0.1239013671875,0.20956580340862274,0.20077835023403168,0.3138798475265503,2.5e-05
inf,0.3121914863586426,0.15585246682167053,0.2604673206806183,0.1240030899643898,0.21256542205810547,0.2065475732088089,0.33036717772483826,2.5e-05
inf,0.311114639043808,0.1525048166513443,0.252441942691803,0.12890625,0.16193072497844696,0.16418945789337158,0.2816741168498993,2.5e-05
inf,0.3142509460449219,0.16218474507331848,0.270118772983551,0.12841796875,0.1604553908109665,0.16240032017230988,0.2788207232952118,1.25e-05
inf,0.3138009011745453,0.15811431407928467,0.26021522283554077,0.1299235075712204,0.16092173755168915,0.16315732896327972,0.280405193567276,1.25e-05
inf,0.31201496720314026,0.15102319419384003,0.25129562616348267,0.1349690705537796,0.12990029156208038,0.1321563720703125,0.22565780580043793,1.25e-05
inf,0.31073611974716187,0.15480151772499084,0.2560633718967438,0.1290690153837204,0.16462166607379913,0.16261933743953705,0.26556670665740967,1.25e-05
inf,0.3079147934913635,0.1496289074420929,0.2532389760017395,0.12713623046875,0.1666819304227829,0.16669654846191406,0.2776218354701996,1.25e-05
inf,0.3108389675617218,0.15572436153888702,0.2620548903942108,0.1259969025850296,0.2112366408109665,0.21051345765590668,0.3434924781322479,1.25e-05
inf,0.30858877301216125,0.14882265031337738,0.24979138374328613,0.1314290314912796,0.17056719958782196,0.16666555404663086,0.2672027349472046,1.25e-05
inf,0.3129412829875946,0.1593453586101532,0.26647689938545227,0.1336669921875,0.1616363525390625,0.16096113622188568,0.26467031240463257,1.25e-05
inf,0.31377923488616943,0.15424734354019165,0.2539960741996765,0.1254069060087204,0.2115182876586914,0.2125060111284256,0.3471318185329437,1.25e-05
inf,0.3106939494609833,0.15887035429477692,0.2643658518791199,0.13482666015625,0.20134258270263672,0.2028064727783203,0.33481669425964355,1.25e-05
inf,0.31026262044906616,0.15460136532783508,0.2578253746032715,0.1316324919462204,0.17465846240520477,0.17247676849365234,0.2819385230541229,6.25e-06
inf,0.31590062379837036,0.15172001719474792,0.24770021438598633,0.1397501677274704,0.21328513324260712,0.21309761703014374,0.34970399737358093,6.25e-06
inf,0.31305453181266785,0.16060660779476166,0.26689690351486206,0.1384684294462204,0.21776898205280304,0.21027342975139618,0.32189249992370605,6.25e-06
inf,0.3123205304145813,0.15679627656936646,0.2594642639160156,0.1391194611787796,0.2187836915254593,0.21852175891399384,0.35438811779022217,6.25e-06
inf,0.31181803345680237,0.15753789246082306,0.2604939937591553,0.142822265625,0.1996755599975586,0.1940145641565323,0.3026314675807953,6.25e-06
inf,0.31538835167884827,0.16007335484027863,0.26415079832077026,0.1444905549287796,0.19979985058307648,0.2019805908203125,0.3331175148487091,6.25e-06
inf,0.31340619921684265,0.15822133421897888,0.2627442479133606,0.1295369416475296,0.21118514239788055,0.21016640961170197,0.3327893912792206,6.25e-06
inf,0.30920785665512085,0.15002568066120148,0.2479909211397171,0.1383870393037796,0.17531681060791016,0.17760662734508514,0.30156102776527405,6.25e-06
inf,0.3092091679573059,0.15140226483345032,0.25201287865638733,0.1501261442899704,0.1905832290649414,0.1907515972852707,0.300876259803772,6.25e-06
inf,0.31458553671836853,0.15436577796936035,0.25461840629577637,0.1629435271024704,0.13336436450481415,0.13331109285354614,0.21515066921710968,6.25e-06
