epoch,accuracy,dice_coef,jacard_coef,loss,val_accuracy,val_dice_coef,val_jacard_coef,val_loss
0,0.8054457902908325,0.29078391194343567,0.17689304053783417,0.523134708404541,0.056050341576337814,0.10499350726604462,0.056002724915742874,1.099496841430664
1,0.968687117099762,0.5578651428222656,0.39471662044525146,0.318069189786911,0.056486696004867554,0.10497438162565231,0.0559898242354393,1.108887791633606
2,0.9808156490325928,0.6756265163421631,0.5164814591407776,0.23215986788272858,0.05704452097415924,0.1050778329372406,0.05604752525687218,1.1083271503448486
3,0.9836187362670898,0.7164173722267151,0.5659978985786438,0.20296533405780792,0.060622427612543106,0.10541389882564545,0.05623704195022583,1.1038657426834106
4,0.9859679937362671,0.75443035364151,0.6121543645858765,0.17578519880771637,0.07474980503320694,0.10757028311491013,0.05745819956064224,1.040612816810608
5,0.9880176186561584,0.7849373817443848,0.650834321975708,0.15382958948612213,0.10195101797580719,0.1117781326174736,0.0598488412797451,0.9801793694496155
6,0.9880965948104858,0.79278963804245,0.6623833179473877,0.1484077423810959,0.07390177994966507,0.10735636949539185,0.057338520884513855,1.0503439903259277
7,0.9896991848945618,0.8125871419906616,0.6892474889755249,0.13406138122081757,0.13762059807777405,0.11604096740484238,0.06228099390864372,0.9475904107093811
8,0.9906390309333801,0.8287472128868103,0.7120354175567627,0.12251466512680054,0.40231961011886597,0.14927993714809418,0.0816001147031784,0.8304057717323303
9,0.9910593628883362,0.8422287702560425,0.7301533818244934,0.11296994984149933,0.5215150117874146,0.17791880667209625,0.09885650128126144,0.7593957185745239
10,0.9918974041938782,0.8516269326210022,0.7444896101951599,0.1061360090970993,0.3638358414173126,0.1430240124464035,0.07792001217603683,0.8405376076698303
11,0.9924165606498718,0.8620204329490662,0.7601047158241272,0.09872407466173172,0.3470837473869324,0.13983425498008728,0.07601829618215561,0.8591108918190002
12,0.9925929307937622,0.8679269552230835,0.7693417072296143,0.09456302970647812,0.6729128956794739,0.24142904579639435,0.1391780525445938,0.6554067134857178
13,0.9927317500114441,0.8717880845069885,0.7751843333244324,0.09183970838785172,0.4422173798084259,0.15772110223770142,0.08663691580295563,0.8061734437942505
14,0.9932367205619812,0.8814586997032166,0.7899030447006226,0.08492301404476166,0.5610702037811279,0.18916620314121246,0.10580310225486755,0.7305044531822205
15,0.9933567047119141,0.8830308318138123,0.7931854128837585,0.08378122746944427,0.5028337836265564,0.17246170341968536,0.0955248698592186,0.7707177996635437
16,0.993660569190979,0.8897336721420288,0.8032496571540833,0.07901611179113388,0.6721946001052856,0.23813806474208832,0.13704468309879303,0.6518390774726868
17,0.9938225150108337,0.8946614861488342,0.8110809326171875,0.07553408294916153,0.5092509984970093,0.17433714866638184,0.09672241657972336,0.7523136734962463
18,0.9940272569656372,0.899300754070282,0.8183784484863281,0.07221967726945877,0.45599180459976196,0.1621495485305786,0.08926878869533539,0.7908756136894226
19,0.9941704869270325,0.9023118615150452,0.823636531829834,0.07008540630340576,0.572290301322937,0.19662438333034515,0.11041075736284256,0.7299721837043762
20,0.9943336248397827,0.9047509431838989,0.827955961227417,0.06832518428564072,0.7356967926025391,0.28018438816070557,0.1652705818414688,0.6012393832206726
21,0.9943227767944336,0.9077644944190979,0.8332334756851196,0.06624449789524078,0.7586652636528015,0.29873210191726685,0.1782069206237793,0.5818156003952026
22,0.9942901730537415,0.9112741351127625,0.8381174802780151,0.0638171136379242,0.7127583026885986,0.2663843631744385,0.15583708882331848,0.6245105862617493
23,0.9944325685501099,0.9113714098930359,0.838616669178009,0.06370076537132263,0.7059772610664368,0.2620687186717987,0.1529470980167389,0.6299211382865906
24,0.9946523308753967,0.9170626401901245,0.8479807376861572,0.05964348092675209,0.662746250629425,0.23622342944145203,0.13573427498340607,0.6625905632972717
