image,dilution_factor,tile_idx,model_name,model_label,architecture,foreground_pct
10x_2025-05-15_02-05-00,10,10,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,11,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,11,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4428863525390625
10x_2025-05-15_02-05-00,10,11,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3597259521484375
10x_2025-05-15_02-05-00,10,11,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,11,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,12,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,12,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4459381103515625
10x_2025-05-15_02-05-00,10,12,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3688812255859375
10x_2025-05-15_02-05-00,10,12,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,12,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,13,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,13,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4894256591796875
10x_2025-05-15_02-05-00,10,13,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.371551513671875
10x_2025-05-15_02-05-00,10,13,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,13,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,14,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,14,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.390625
10x_2025-05-15_02-05-00,10,14,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.4047393798828125
10x_2025-05-15_02-05-00,10,14,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,14,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,15,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,15,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.389862060546875
10x_2025-05-15_02-05-00,10,15,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3932952880859375
10x_2025-05-15_02-05-00,10,15,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,15,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,16,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,16,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4207611083984375
10x_2025-05-15_02-05-00,10,16,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.39215087890625
10x_2025-05-15_02-05-00,10,16,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,16,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,17,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,17,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.443267822265625
10x_2025-05-15_02-05-00,10,17,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3948211669921875
10x_2025-05-15_02-05-00,10,17,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,17,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,18,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,18,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4444122314453125
10x_2025-05-15_02-05-00,10,18,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.36773681640625
10x_2025-05-15_02-05-00,10,18,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,18,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,19,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,19,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.42572021484375
10x_2025-05-15_02-05-00,10,19,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3833770751953125
10x_2025-05-15_02-05-00,10,19,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,19,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,20,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,20,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.431060791015625
10x_2025-05-15_02-05-00,10,20,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.373077392578125
10x_2025-05-15_02-05-00,10,20,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,20,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,21,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,21,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.3353118896484375
10x_2025-05-15_02-05-00,10,21,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.4177093505859375
10x_2025-05-15_02-05-00,10,21,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,21,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,22,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,22,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.3238677978515625
10x_2025-05-15_02-05-00,10,22,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3948211669921875
10x_2025-05-15_02-05-00,10,22,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,22,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,23,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,23,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.390625
10x_2025-05-15_02-05-00,10,23,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.41351318359375
10x_2025-05-15_02-05-00,10,23,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,23,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,24,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,24,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4108428955078125
10x_2025-05-15_02-05-00,10,24,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3879547119140625
10x_2025-05-15_02-05-00,10,24,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,24,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,25,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,25,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.457763671875
10x_2025-05-15_02-05-00,10,25,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3833770751953125
10x_2025-05-15_02-05-00,10,25,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,25,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,26,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,26,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4482269287109375
10x_2025-05-15_02-05-00,10,26,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3673553466796875
10x_2025-05-15_02-05-00,10,26,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,26,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,27,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,27,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4383087158203125
10x_2025-05-15_02-05-00,10,27,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3734588623046875
10x_2025-05-15_02-05-00,10,27,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,27,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,0,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,0,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.299835205078125
20x_2025-05-15_02-05-00,20,0,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.406646728515625
20x_2025-05-15_02-05-00,20,0,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,0,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,1,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,1,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2964019775390625
20x_2025-05-15_02-05-00,20,1,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.411224365234375
20x_2025-05-15_02-05-00,20,1,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,1,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,2,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,2,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2994537353515625
20x_2025-05-15_02-05-00,20,2,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.40740966796875
20x_2025-05-15_02-05-00,20,2,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,2,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,3,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,3,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.3108978271484375
20x_2025-05-15_02-05-00,20,3,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.4116058349609375
20x_2025-05-15_02-05-00,20,3,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,3,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,4,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,4,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.3173828125
20x_2025-05-15_02-05-00,20,4,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.41961669921875
20x_2025-05-15_02-05-00,20,4,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,4,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,5,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,5,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2838134765625
20x_2025-05-15_02-05-00,20,5,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.4032135009765625
20x_2025-05-15_02-05-00,20,5,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,5,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,6,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,6,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.3337860107421875
20x_2025-05-15_02-05-00,20,6,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.40740966796875
20x_2025-05-15_02-05-00,20,6,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,6,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,7,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,7,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.27008056640625
20x_2025-05-15_02-05-00,20,7,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.4150390625
20x_2025-05-15_02-05-00,20,7,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,7,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,8,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,8,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2593994140625
20x_2025-05-15_02-05-00,20,8,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3871917724609375
20x_2025-05-15_02-05-00,20,8,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,8,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,9,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,9,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2651214599609375
20x_2025-05-15_02-05-00,20,9,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.408935546875
20x_2025-05-15_02-05-00,20,9,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,9,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,10,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,10,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2979278564453125
20x_2025-05-15_02-05-00,20,10,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.395965576171875
20x_2025-05-15_02-05-00,20,10,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,10,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,11,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,11,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.304412841796875
20x_2025-05-15_02-05-00,20,11,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.4055023193359375
20x_2025-05-15_02-05-00,20,11,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,11,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,12,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,12,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2948760986328125
20x_2025-05-15_02-05-00,20,12,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3932952880859375
20x_2025-05-15_02-05-00,20,12,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,12,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,13,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,13,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2483367919921875
20x_2025-05-15_02-05-00,20,13,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.4093170166015625
20x_2025-05-15_02-05-00,20,13,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,13,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,14,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,14,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.255584716796875
20x_2025-05-15_02-05-00,20,14,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3936767578125
20x_2025-05-15_02-05-00,20,14,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,14,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,15,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,15,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2468109130859375
20x_2025-05-15_02-05-00,20,15,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.39520263671875
20x_2025-05-15_02-05-00,20,15,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,15,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,16,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,16,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.27618408203125
20x_2025-05-15_02-05-00,20,16,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.389862060546875
20x_2025-05-15_02-05-00,20,16,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,16,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,17,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,17,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2460479736328125
20x_2025-05-15_02-05-00,20,17,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.408172607421875
20x_2025-05-15_02-05-00,20,17,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,17,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,18,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,18,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2811431884765625
20x_2025-05-15_02-05-00,20,18,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.415802001953125
20x_2025-05-15_02-05-00,20,18,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,18,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,19,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,19,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2758026123046875
20x_2025-05-15_02-05-00,20,19,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.412750244140625
20x_2025-05-15_02-05-00,20,19,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,19,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,20,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,20,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2391815185546875
20x_2025-05-15_02-05-00,20,20,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.417327880859375
20x_2025-05-15_02-05-00,20,20,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,20,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,21,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,21,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2147674560546875
20x_2025-05-15_02-05-00,20,21,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3971099853515625
20x_2025-05-15_02-05-00,20,21,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,21,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,22,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,22,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.22735595703125
20x_2025-05-15_02-05-00,20,22,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3498077392578125
20x_2025-05-15_02-05-00,20,22,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,22,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,23,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,23,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.23651123046875
20x_2025-05-15_02-05-00,20,23,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.389862060546875
20x_2025-05-15_02-05-00,20,23,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,23,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,24,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,24,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2285003662109375
20x_2025-05-15_02-05-00,20,24,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.37841796875
20x_2025-05-15_02-05-00,20,24,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,24,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,25,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,25,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2346038818359375
20x_2025-05-15_02-05-00,20,25,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.395965576171875
20x_2025-05-15_02-05-00,20,25,resunet,ResUNet,resunet,0.0
20x_2025-05-15_02-05-00,20,25,attention_resunet,Attention ResUNet,attention_resunet,0.0
20x_2025-05-15_02-05-00,20,26,unet_best,U-Net (best),unet,0.0
20x_2025-05-15_02-05-00,20,26,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.2269744873046875
20x_2025-05-15_02-05-00,20,26,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.391387939453125
