Architecture,Mean IoU,Std IoU,Max IoU,Min IoU,Median IoU,Mean Dice,Std Dice,Max Dice
UNet,0.38059842752085793,0.07941488580696866,0.5079596638679504,0.2123764008283615,0.3791883885860443,0.5276782181527879,0.09633087860593571,0.6648682951927185
Attention UNet,0.3892529573705461,0.08407633749082942,0.487527459859848,0.2120915651321411,0.4137980341911316,0.5398974981572893,0.09874104901257563,0.6471062898635864
Attention ResUNet,0.31366857665556447,0.11826906692860335,0.5038761496543884,0.1618120968341827,0.3218391537666321,0.455803123889146,0.1384245946982939,0.6653382182121277
