train_loss,train_iou,train_dice,val_loss,val_iou,val_dice
0.2059691146016121,0.13163094624820232,0.1877443793061103,0.20712547600269318,0.03051449656486511,0.05815496072173119
0.1353309951722622,0.11281400910619026,0.15574284120001153,0.17332751899957657,7.971218268787439e-10,7.971218268787439e-10
0.12848172523081303,0.006205276294851284,0.010070850408875924,0.14736296534538268,0.012983945477753878,0.02438755687326193
0.11801453419029713,0.03406868055132808,0.048502386986543834,0.12465949654579163,7.971218268787439e-10,7.971218268787439e-10
0.123944690823555,0.0009161392457254925,0.0017664924454603471,0.14024433344602585,0.19183622896671296,0.28573243916034696
0.12496485114097595,0.002585626206995387,0.004990416740769236,0.1660716414451599,4.996115189020989e-06,9.990993879943622e-06
0.11529668644070626,6.974191466744585e-06,1.3941869752463233e-05,0.1336531475186348,7.764550185651586e-05,0.00015506787070602713
0.128640590980649,0.0005674502677979325,0.0011264427588943654,0.14386142343282698,7.971218268787439e-10,7.971218268787439e-10
0.12426571920514107,0.0005130094253639351,0.0010145825548045929,0.1411707043647766,7.971218268787439e-10,7.971218268787439e-10
0.12302606925368309,5.404053731344373e-06,1.0806023472914074e-05,0.19759100079536437,7.971218268787439e-10,7.971218268787439e-10
0.12005652263760566,2.862525497602346e-05,5.721933370677161e-05,0.15105903148651123,7.971218268787439e-10,7.971218268787439e-10
0.12331739887595176,4.032824093482415e-05,8.056910059903314e-05,0.11378441825509071,7.971218268787439e-10,7.971218268787439e-10
0.115463762357831,2.144037850922084e-05,4.28324612356e-05,0.11445308774709702,7.971218268787439e-10,7.971218268787439e-10
0.1186455488204956,0.00037452594777343423,0.0007449061312224493,0.13207289725542068,7.971218268787439e-10,7.971218268787439e-10
0.11403733044862747,5.7209807662688716e-05,0.0001138990780400079,0.2577649220824242,3.2957907140640507e-07,6.583566767248694e-07
0.11181040853261948,7.530551904277872e-10,7.530551904277872e-10,0.13900235295295715,7.971218268787439e-10,7.971218268787439e-10
0.11812480576336384,7.40144866923087e-10,7.40144866923087e-10,0.12281796634197235,7.971218268787439e-10,7.971218268787439e-10
0.10718160271644592,7.558612506730622e-10,7.558612506730622e-10,0.1226185716688633,7.971218268787439e-10,7.971218268787439e-10
0.11223542541265488,7.417016121506054e-10,7.417016121506054e-10,0.14306000024080276,7.971218268787439e-10,7.971218268787439e-10
0.10903184916824102,8.054545020536041e-10,8.054545020536041e-10,0.11261767297983169,7.971218268787439e-10,7.971218268787439e-10
0.11148340366780758,7.43601006637784e-10,7.43601006637784e-10,0.12817327082157134,7.971218268787439e-10,7.971218268787439e-10
0.10895210765302181,7.413872935707611e-10,7.413872935707611e-10,0.11398898810148239,7.971218268787439e-10,7.971218268787439e-10
0.11613375060260296,7.407950678231523e-10,7.407950678231523e-10,0.11561159640550614,7.971218268787439e-10,7.971218268787439e-10
0.10670140162110328,7.412448510893399e-10,7.412448510893399e-10,0.11306406408548356,7.971218268787439e-10,7.971218268787439e-10
0.10777186676859855,7.424906864252762e-10,7.424906864252762e-10,0.23104643002152442,7.971218268787439e-10,7.971218268787439e-10
