architecture,n_filters,dropout,learning_rate,best_val_iou,model_name
attention_resunet,16,0.1,0.003,0.5718198359012604,attention_resunet_n_filters16_dropout0.1_learning_rate0.003
attention_resunet,16,0.1,0.005,0.005142312898533419,attention_resunet_n_filters16_dropout0.1_learning_rate0.005
attention_resunet,16,0.2,0.001,0.5969054579734803,attention_resunet_n_filters16_dropout0.2_learning_rate0.001
attention_resunet,16,0.2,0.003,0.5536013782024384,attention_resunet_n_filters16_dropout0.2_learning_rate0.003
attention_resunet,16,0.2,0.005,0.43452413082122804,attention_resunet_n_filters16_dropout0.2_learning_rate0.005
attention_resunet,16,0.3,0.001,0.2769982427358627,attention_resunet_n_filters16_dropout0.3_learning_rate0.001
attention_resunet,16,0.3,0.003,7.971218268787439e-10,attention_resunet_n_filters16_dropout0.3_learning_rate0.003
attention_resunet,16,0.3,0.005,1.1850658548778759e-05,attention_resunet_n_filters16_dropout0.3_learning_rate0.005
attention_resunet,32,0.1,0.001,0.6259526968002319,attention_resunet_n_filters32_dropout0.1_learning_rate0.001
attention_resunet,32,0.1,0.003,0.555004996061325,attention_resunet_n_filters32_dropout0.1_learning_rate0.003
attention_resunet,32,0.1,0.005,0.13607852011919022,attention_resunet_n_filters32_dropout0.1_learning_rate0.005
attention_resunet,32,0.2,0.001,0.5851414024829864,attention_resunet_n_filters32_dropout0.2_learning_rate0.001
attention_resunet,32,0.2,0.003,0.2201377585530281,attention_resunet_n_filters32_dropout0.2_learning_rate0.003
attention_resunet,32,0.2,0.005,7.971218268787439e-10,attention_resunet_n_filters32_dropout0.2_learning_rate0.005
attention_resunet,32,0.3,0.001,0.5231229841709137,attention_resunet_n_filters32_dropout0.3_learning_rate0.001
attention_resunet,32,0.3,0.003,0.26301330626010894,attention_resunet_n_filters32_dropout0.3_learning_rate0.003
attention_resunet,32,0.3,0.005,0.2913156747817993,attention_resunet_n_filters32_dropout0.3_learning_rate0.005
attention_resunet,64,0.1,0.001,0.5768138408660889,attention_resunet_n_filters64_dropout0.1_learning_rate0.001
attention_resunet,64,0.1,0.003,0.40399557948112486,attention_resunet_n_filters64_dropout0.1_learning_rate0.003
attention_resunet,64,0.1,0.005,0.017214004322886466,attention_resunet_n_filters64_dropout0.1_learning_rate0.005
attention_resunet,64,0.2,0.001,0.5677588641643524,attention_resunet_n_filters64_dropout0.2_learning_rate0.001
attention_resunet,64,0.2,0.003,0.34034140929579737,attention_resunet_n_filters64_dropout0.2_learning_rate0.003
attention_resunet,64,0.2,0.005,0.17724978029727936,attention_resunet_n_filters64_dropout0.2_learning_rate0.005
attention_resunet,64,0.3,0.001,0.5440560281276703,attention_resunet_n_filters64_dropout0.3_learning_rate0.001
attention_resunet,64,0.3,0.003,0.04786141673102975,attention_resunet_n_filters64_dropout0.3_learning_rate0.003
attention_resunet,64,0.3,0.005,0.05941661931574345,attention_resunet_n_filters64_dropout0.3_learning_rate0.005
