,loss,accuracy,jacard_coef,val_loss,val_accuracy,val_jacard_coef
0,0.13010838627815247,0.9327879548072815,0.08035643398761749,0.10210917890071869,0.9408146142959595,0.05444717779755592
1,0.07911691814661026,0.9723610281944275,0.1004335805773735,0.07969288527965546,0.9407840371131897,0.054762937128543854
2,0.05466161668300629,0.981712281703949,0.11707018315792084,0.0664510503411293,0.9580502510070801,0.09229043871164322
3,0.03846744820475578,0.9874842762947083,0.13551871478557587,0.038892704993486404,0.9729499220848083,0.11476359516382217
4,0.02880733460187912,0.989945650100708,0.1505996286869049,0.029817000031471252,0.9817057251930237,0.14296695590019226
5,0.0219467431306839,0.9918969869613647,0.1662541776895523,0.03038562275469303,0.972385823726654,0.12905292212963104
6,0.017425749450922012,0.9929168820381165,0.17967331409454346,0.034999847412109375,0.9654083251953125,0.11166757345199585
7,0.014332224614918232,0.9935443997383118,0.19189611077308655,0.041404154151678085,0.9595242142677307,0.10218881815671921
8,0.011890373192727566,0.9941889643669128,0.20410795509815216,0.01604534313082695,0.986744225025177,0.19435757398605347
9,0.010145333595573902,0.9945016503334045,0.21525314450263977,0.01388301607221365,0.9880914688110352,0.20969560742378235
10,0.014755899086594582,0.9878085851669312,0.19108054041862488,0.017445089295506477,0.9831092953681946,0.18836550414562225
11,0.009149417281150818,0.9934402704238892,0.22418108582496643,0.027255624532699585,0.9684869050979614,0.1376357227563858
12,0.0074050575494766235,0.9945819973945618,0.24077977240085602,0.031379736959934235,0.965322732925415,0.14127232134342194
13,0.006548864766955376,0.9949097037315369,0.25214868783950806,0.0316193625330925,0.9634830951690674,0.13649216294288635
14,0.0060295830480754375,0.9949552416801453,0.2612721621990204,0.037765152752399445,0.9549245238304138,0.11231864243745804
15,0.005516743753105402,0.99507737159729,0.27136585116386414,0.042810697108507156,0.9499062299728394,0.09978846460580826
16,0.0051683541387319565,0.9951202869415283,0.27999597787857056,0.06055246666073799,0.9416350722312927,0.06829797476530075
17,0.004783159587532282,0.9952618479728699,0.28916284441947937,0.07738280296325684,0.9408146142959595,0.054162412881851196
18,0.007372994441539049,0.992006242275238,0.26964011788368225,0.06214839220046997,0.9408525228500366,0.07381317764520645
19,0.004872662480920553,0.9946293234825134,0.29629942774772644,0.07190022617578506,0.9408146142959595,0.06143181398510933
20,0.004151035100221634,0.9953535199165344,0.3120315372943878,0.08358663320541382,0.9408146142959595,0.05479668453335762
21,0.003817290998995304,0.9956056475639343,0.32275572419166565,0.0845562145113945,0.9408146142959595,0.055229879915714264
22,0.003706056158989668,0.9956037998199463,0.33082133531570435,0.0893421545624733,0.9408146142959595,0.05315278097987175
23,0.00350578804500401,0.9957422614097595,0.340511292219162,0.10283388197422028,0.9408146142959595,0.04419875517487526
24,0.0037186304107308388,0.9953649044036865,0.34296998381614685,0.09631720185279846,0.9408146142959595,0.04755617678165436
25,0.003265663981437683,0.9957807064056396,0.3563627004623413,0.09915217757225037,0.9408146142959595,0.048423681408166885
26,0.0030660652555525303,0.9959803223609924,0.3670823574066162,0.09805306792259216,0.9408146142959595,0.05132504925131798
27,0.0029389522969722748,0.9960635900497437,0.37526848912239075,0.07874831557273865,0.9408146142959595,0.0633922591805458
28,0.0029771984554827213,0.9960343837738037,0.38230273127555847,0.10621274262666702,0.9408146142959595,0.04409918934106827
29,0.003276130184531212,0.9954841732978821,0.38243454694747925,0.08469536155462265,0.9408146142959595,0.060151852667331696
30,0.002935619093477726,0.9959008097648621,0.39466843008995056,0.08783340454101562,0.9408146142959595,0.05855845287442207
