image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,7,512,0,0.05134201,0.012264252,0.0,0.0,0.07032394409179688,0.049846649169921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,8,512,512,0.04094696,0.011302948,8.773804e-05,0.0,0.06175994873046875,0.035846710205078125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,9,512,1024,0.041122437,0.013626099,0.00011444092,0.0,0.056972503662109375,0.0326690673828125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,10,512,1536,0.03362274,0.01177597,0.00023269653,0.0,0.042324066162109375,0.024547576904296875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,11,512,2048,0.03976822,0.014801025,1.5258789e-05,0.0,0.04510498046875,0.031070709228515625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,12,512,2560,0.04086685,0.015247345,0.0001335144,0.0,0.051616668701171875,0.039768218994140625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,13,512,3072,0.06587982,0.02376175,0.00019073486,0.0,0.08484649658203125,0.07495498657226562
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,14,1024,0,0.04001999,0.010124207,7.6293945e-06,0.0,0.054286956787109375,0.04204559326171875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,15,1024,512,0.037784576,0.010799408,8.773804e-05,0.0,0.048534393310546875,0.037395477294921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,16,1024,1024,0.03385544,0.010189056,3.8146973e-06,0.0,0.047229766845703125,0.026760101318359375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,17,1024,1536,0.033908844,0.011005402,4.9591064e-05,0.0,0.046817779541015625,0.028057098388671875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,18,1024,2048,0.03151703,0.010822296,5.722046e-05,0.0,0.03951263427734375,0.03829193115234375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,19,1024,2560,0.03702545,0.013069153,3.0517578e-05,0.0,0.04461669921875,0.033893585205078125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,20,1024,3072,0.054965973,0.019752502,8.392334e-05,0.0,0.06570053100585938,0.06014251708984375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,21,1536,0,0.040988922,0.012496948,0.0001296997,0.0,0.05854034423828125,0.048725128173828125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,22,1536,512,0.03397751,0.00951767,0.0,0.0,0.047473907470703125,0.041301727294921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,23,1536,1024,0.031059265,0.008842468,1.9073486e-05,0.0,0.039196014404296875,0.2540092468261719
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,24,1536,1536,0.03303528,0.010169983,3.0517578e-05,0.0,0.045032501220703125,0.028778076171875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,25,1536,2048,0.029949188,0.009479523,3.8146973e-05,0.0,0.04286956787109375,0.027950286865234375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,26,1536,2560,0.042175293,0.014350891,0.00022888184,0.0,0.05406951904296875,0.03949737548828125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,27,1536,3072,0.055316925,0.019527435,0.00018692017,0.0,0.06641769409179688,0.055908203125
