epoch,accuracy,dice_coef,jacard_coef,loss,val_accuracy,val_dice_coef,val_jacard_coef,val_loss
0,0.8155165910720825,0.337927907705307,0.21848070621490479,0.4873439371585846,0.7663909196853638,0.14806348085403442,0.0811455026268959,0.6295976042747498
1,0.9750322699546814,0.5990504622459412,0.44480881094932556,0.28777292370796204,0.9220918416976929,0.349765419960022,0.21797744929790497,0.47742795944213867
2,0.9839509129524231,0.6896405220031738,0.5412195920944214,0.22172868251800537,0.9488375782966614,0.38055768609046936,0.24271522462368011,0.44950592517852783
3,0.9864805936813354,0.7280759215354919,0.5882209539413452,0.19423222541809082,0.9396177530288696,0.3830074071884155,0.24374887347221375,0.45190972089767456
4,0.9883196353912354,0.7626842856407166,0.629400908946991,0.16956639289855957,0.9446113109588623,0.4455801248550415,0.2950839102268219,0.4079127907752991
5,0.989463746547699,0.7784663438796997,0.6525593996047974,0.15823949873447418,0.9532665014266968,0.4493069648742676,0.2976619303226471,0.40228718519210815
6,0.9902740716934204,0.7973203063011169,0.6773850917816162,0.14474506676197052,0.9358605742454529,0.5241976976394653,0.3651101291179657,0.3580239713191986
7,0.9909273982048035,0.8120396733283997,0.7003401517868042,0.13427278399467468,0.9507111310958862,0.4583638608455658,0.3046005666255951,0.39767852425575256
8,0.9918700456619263,0.8326330780982971,0.724960207939148,0.11954198777675629,0.9526025056838989,0.40215274691581726,0.2593628168106079,0.4367882013320923
9,0.9922751784324646,0.845308244228363,0.7417309880256653,0.11061906814575195,0.9513912200927734,0.5938794016838074,0.43276500701904297,0.3033844530582428
10,0.9926418662071228,0.8525130748748779,0.7524493932723999,0.10548028349876404,0.9262619614601135,0.5386559963226318,0.38053497672080994,0.3536878526210785
11,0.9929437041282654,0.860702633857727,0.765236496925354,0.09964673221111298,0.9228338003158569,0.5262598395347595,0.36899876594543457,0.3630465269088745
12,0.9931769967079163,0.8689451217651367,0.7773079872131348,0.09384047985076904,0.908555269241333,0.49633052945137024,0.3414902091026306,0.3899005651473999
13,0.9933539032936096,0.8777734637260437,0.7900360226631165,0.08759003132581711,0.873264729976654,0.434222549200058,0.28727981448173523,0.4490492343902588
14,0.9935619831085205,0.8793467879295349,0.7934557199478149,0.08644961565732956,0.9053590893745422,0.4986855387687683,0.3441598415374756,0.3906911313533783
15,0.9934789538383484,0.8851192593574524,0.8022913932800293,0.08244355767965317,0.8714632987976074,0.4285995364189148,0.28264757990837097,0.4521770477294922
16,0.9938235282897949,0.8955984115600586,0.8183397650718689,0.07502094656229019,0.9195630550384521,0.5279529094696045,0.37081626057624817,0.3636150360107422
17,0.9941291809082031,0.9034348130226135,0.8278520703315735,0.06945466250181198,0.9469826221466064,0.6009265780448914,0.44209858775138855,0.30069074034690857
18,0.9941877126693726,0.9103256464004517,0.8377744555473328,0.06462932378053665,0.9250843524932861,0.5472925305366516,0.3897393047809601,0.34828418493270874
19,0.9943944811820984,0.9128119349479675,0.8418256640434265,0.06280814856290817,0.9115663766860962,0.5161599516868591,0.3607397675514221,0.3748731315135956
20,0.994488537311554,0.9164861440658569,0.8485307097434998,0.0602230466902256,0.9018834829330444,0.4904196858406067,0.3366895616054535,0.3972738981246948
21,0.9946164488792419,0.9171077609062195,0.8507446050643921,0.05974521487951279,0.8983169794082642,0.48272112011909485,0.32940447330474854,0.4054030776023865
22,0.9946113228797913,0.9233253002166748,0.8589910268783569,0.05541052296757698,0.9595591425895691,0.6397411227226257,0.48023363947868347,0.26929154992103577
23,0.994642972946167,0.9237208366394043,0.8600656986236572,0.05513981357216835,0.9662361145019531,0.5858058333396912,0.4254741370677948,0.3051762878894806
24,0.9947826862335205,0.9238349795341492,0.8631153702735901,0.05501535162329674,0.9468224048614502,0.6305114030838013,0.47515782713890076,0.2816621959209442
