epoch,dice_coef,jacard_coef,loss,lr,val_dice_coef,val_jacard_coef,val_loss
0,0.22191748023033142,0.1309283971786499,0.04988008365035057,0.005,0.00044278879067860544,0.00022144653485156596,0.3378226161003113
1,0.21680180728435516,0.12585818767547607,0.03145170584321022,0.005,0.2193126678466797,0.12423042953014374,0.6009641885757446
2,0.21873202919960022,0.1276358664035797,0.02858557365834713,0.005,0.2895256578922272,0.1723616123199463,0.7540864944458008
3,0.27709275484085083,0.1663893610239029,0.02235899306833744,0.005,0.292275995016098,0.1742577701807022,0.14965792000293732
4,0.26966744661331177,0.1614375114440918,0.023215139284729958,0.005,0.2432556450366974,0.1402347981929779,0.035070158541202545
5,0.24941854178905487,0.15029442310333252,0.024769004434347153,0.005,0.30755504965782166,0.18634197115898132,0.045824259519577026
6,0.27788034081459045,0.16945382952690125,0.021552707999944687,0.005,0.2797335982322693,0.16497179865837097,0.03875016048550606
7,0.33768507838249207,0.21088044345378876,0.016925286501646042,0.005,0.2833499312400818,0.1664324700832367,0.03667284548282623
8,0.32391637563705444,0.20337507128715515,0.01869921013712883,0.005,0.25161585211753845,0.14438819885253906,0.04110223799943924
9,0.311709463596344,0.19434915482997894,0.018320243805646896,0.005,0.14139212667942047,0.07610666751861572,0.09687202423810959
10,0.3295132517814636,0.20555022358894348,0.018442349508404732,0.005,0.22367358207702637,0.12672869861125946,0.04459061101078987
11,0.31073489785194397,0.19352766871452332,0.01844809018075466,0.005,0.23280605673789978,0.13255414366722107,0.0516243651509285
12,0.33276140689849854,0.21291160583496094,0.015780288726091385,0.005,0.31599926948547363,0.19324810802936554,0.03477785736322403
13,0.421044260263443,0.27541810274124146,0.014380755834281445,0.005,0.14210346341133118,0.07666457444429398,0.10062871873378754
14,0.35560131072998047,0.23030579090118408,0.017382221296429634,0.005,0.28947755694389343,0.1721709966659546,0.042786337435245514
15,0.38288217782974243,0.2453979253768921,0.016082843765616417,0.005,0.28044164180755615,0.1635705828666687,0.05019756406545639
16,0.39212554693222046,0.2543698251247406,0.013880757614970207,0.005,0.14046955108642578,0.07555490732192993,0.09478777647018433
17,0.40489649772644043,0.269031286239624,0.01337436679750681,0.005,0.33017149567604065,0.2088133841753006,0.05247577279806137
18,0.42215412855148315,0.27851027250289917,0.013896999880671501,0.005,0.41168147325515747,0.26761969923973083,0.016476010903716087
19,0.38657423853874207,0.255423367023468,0.015203149989247322,0.005,0.37145715951919556,0.2312709540128708,0.03562786430120468
20,0.3715699315071106,0.24449627101421356,0.013697170652449131,0.005,0.20211198925971985,0.11400924623012543,0.15953417122364044
21,0.4092109799385071,0.27498868107795715,0.013477655127644539,0.005,0.3549351692199707,0.23380474746227264,0.03809680417180061
22,0.3482598662376404,0.22400197386741638,0.018284419551491737,0.005,0.2878037095069885,0.17751061916351318,0.043180592358112335
23,0.3245495855808258,0.21137699484825134,0.015385745093226433,0.005,0.20774872601032257,0.11730296909809113,0.0858435109257698
24,0.36671847105026245,0.2416265457868576,0.014617395587265491,0.005,0.30351901054382324,0.18352501094341278,0.05382750555872917
25,0.38417044281959534,0.2579995095729828,0.012438016943633556,0.005,0.32861995697021484,0.20476862788200378,0.051625173538923264
26,0.39705830812454224,0.2636926770210266,0.013644687831401825,0.005,0.0998307541012764,0.05442553758621216,0.2419467270374298
27,0.37379854917526245,0.24294321238994598,0.01540207676589489,0.005,0.1966305673122406,0.1144310012459755,0.18086282908916473
28,0.3826732039451599,0.2537845969200134,0.012627792544662952,0.005,0.47245368361473083,0.32350704073905945,0.06091791391372681
29,0.4200221598148346,0.28542008996009827,0.010923587717115879,0.005,0.3551371693611145,0.22317060828208923,0.05116623640060425
30,0.4275333881378174,0.2939853370189667,0.010054484009742737,0.005,0.44383302330970764,0.2955491542816162,0.021354004740715027
31,0.4083787798881531,0.2717656195163727,0.01284948829561472,0.005,0.37522250413894653,0.2339596301317215,0.022366613149642944
32,0.4154609739780426,0.2861827313899994,0.009843513369560242,0.005,0.4235553741455078,0.2723243236541748,0.013017714023590088
33,0.4241541922092438,0.2998236119747162,0.008686981163918972,0.005,0.43958187103271484,0.28743690252304077,0.015194060280919075
34,0.46151003241539,0.326188325881958,0.008655733428895473,0.005,0.3985229432582855,0.2510930597782135,0.02228006348013878
35,0.48709073662757874,0.3459619879722595,0.008175155147910118,0.005,0.4156104624271393,0.2631896734237671,0.020617300644516945
36,0.46942010521888733,0.3294348120689392,0.00851704552769661,0.005,0.4338019788265228,0.27908626198768616,0.019579049199819565
37,0.48159533739089966,0.34136635065078735,0.008202764205634594,0.005,0.4303115904331207,0.2768189013004303,0.015130357816815376
38,0.4671153128147125,0.33514225482940674,0.007818159647285938,0.005,0.3869583010673523,0.24274353682994843,0.019138658419251442
39,0.5389426350593567,0.38734060525894165,0.007518993690609932,0.0025,0.39767974615097046,0.25134482979774475,0.017197148874402046
40,0.45973968505859375,0.33060792088508606,0.0074273631907999516,0.0025,0.39008134603500366,0.24522772431373596,0.020168010145425797
41,0.47834324836730957,0.3449922204017639,0.007592414505779743,0.0025,0.3971397280693054,0.249604269862175,0.023993834853172302
42,0.5068191289901733,0.3616182208061218,0.007981459610164165,0.0025,0.39327293634414673,0.24643459916114807,0.027827713638544083
43,0.48566946387290955,0.3490082919597626,0.0077538215555250645,0.0025,0.3889431357383728,0.2426830232143402,0.029848232865333557
44,0.4846123158931732,0.3473301827907562,0.00826670229434967,0.0025,0.3709033131599426,0.22788867354393005,0.0325482152402401
45,0.41801413893699646,0.29056161642074585,0.010391568765044212,0.0025,0.32037702202796936,0.1941252201795578,0.044442761689424515
46,0.4732479155063629,0.3276379406452179,0.0102066146209836,0.0025,0.40159279108047485,0.2525644600391388,0.023612845689058304
47,0.4683311879634857,0.3303036093711853,0.008165568113327026,0.0025,0.42782917618751526,0.2767777442932129,0.016175666823983192
48,0.5124481916427612,0.3660063147544861,0.007812208030372858,0.0025,0.39309653639793396,0.2462068498134613,0.02103847824037075
