architecture,n_filters,dropout,learning_rate,best_val_iou,model_name
attention_unet,16,0.1,0.001,0.6023575782775878,attention_unet_n_filters16_dropout0.1_learning_rate0.001
attention_unet,16,0.1,0.003,0.5800653219223022,attention_unet_n_filters16_dropout0.1_learning_rate0.003
attention_unet,16,0.1,0.005,0.591506028175354,attention_unet_n_filters16_dropout0.1_learning_rate0.005
attention_unet,16,0.2,0.001,0.5747211515903473,attention_unet_n_filters16_dropout0.2_learning_rate0.001
attention_unet,16,0.2,0.003,0.5234183549880982,attention_unet_n_filters16_dropout0.2_learning_rate0.003
attention_unet,16,0.2,0.005,0.557550722360611,attention_unet_n_filters16_dropout0.2_learning_rate0.005
attention_unet,16,0.3,0.001,0.5610801219940186,attention_unet_n_filters16_dropout0.3_learning_rate0.001
attention_unet,16,0.3,0.003,0.5431207180023193,attention_unet_n_filters16_dropout0.3_learning_rate0.003
attention_unet,16,0.3,0.005,0.559529048204422,attention_unet_n_filters16_dropout0.3_learning_rate0.005
attention_unet,32,0.1,0.001,0.61944180727005,attention_unet_n_filters32_dropout0.1_learning_rate0.001
attention_unet,32,0.1,0.003,0.6000184416770935,attention_unet_n_filters32_dropout0.1_learning_rate0.003
attention_unet,32,0.1,0.005,0.5768935143947601,attention_unet_n_filters32_dropout0.1_learning_rate0.005
attention_unet,32,0.2,0.001,0.5797579228878021,attention_unet_n_filters32_dropout0.2_learning_rate0.001
attention_unet,32,0.2,0.003,0.5602898836135864,attention_unet_n_filters32_dropout0.2_learning_rate0.003
attention_unet,32,0.2,0.005,0.5653120934963226,attention_unet_n_filters32_dropout0.2_learning_rate0.005
attention_unet,32,0.3,0.001,0.49415103197097776,attention_unet_n_filters32_dropout0.3_learning_rate0.001
attention_unet,32,0.3,0.003,0.564309549331665,attention_unet_n_filters32_dropout0.3_learning_rate0.003
attention_unet,32,0.3,0.005,0.5383783102035522,attention_unet_n_filters32_dropout0.3_learning_rate0.005
attention_unet,64,0.1,0.001,0.6169360995292663,attention_unet_n_filters64_dropout0.1_learning_rate0.001
attention_unet,64,0.1,0.003,0.5930474996566772,attention_unet_n_filters64_dropout0.1_learning_rate0.003
attention_unet,64,0.1,0.005,0.5795683801174164,attention_unet_n_filters64_dropout0.1_learning_rate0.005
attention_unet,64,0.2,0.001,0.6019918620586395,attention_unet_n_filters64_dropout0.2_learning_rate0.001
attention_unet,64,0.2,0.003,0.5578613638877868,attention_unet_n_filters64_dropout0.2_learning_rate0.003
attention_unet,64,0.2,0.005,0.5827073633670807,attention_unet_n_filters64_dropout0.2_learning_rate0.005
attention_unet,64,0.3,0.001,0.5446806132793427,attention_unet_n_filters64_dropout0.3_learning_rate0.001
attention_unet,64,0.3,0.003,0.550499314069748,attention_unet_n_filters64_dropout0.3_learning_rate0.003
attention_unet,64,0.3,0.005,0.5389633536338806,attention_unet_n_filters64_dropout0.3_learning_rate0.005
attention_resunet,16,0.1,0.001,0.586487638950348,attention_resunet_n_filters16_dropout0.1_learning_rate0.001
attention_resunet,16,0.1,0.003,0.5709637641906739,attention_resunet_n_filters16_dropout0.1_learning_rate0.003
attention_resunet,16,0.1,0.005,0.5514011204242706,attention_resunet_n_filters16_dropout0.1_learning_rate0.005
attention_resunet,16,0.2,0.001,0.5494544804096222,attention_resunet_n_filters16_dropout0.2_learning_rate0.001
attention_resunet,16,0.2,0.003,0.5247523188591003,attention_resunet_n_filters16_dropout0.2_learning_rate0.003
attention_resunet,16,0.2,0.005,0.48003277778625486,attention_resunet_n_filters16_dropout0.2_learning_rate0.005
attention_resunet,16,0.3,0.001,0.5195924818515778,attention_resunet_n_filters16_dropout0.3_learning_rate0.001
