image,dilution,tile_idx,position_y,position_x,unet_density,attention_unet_density,attention_resunet_density
160x_2025-05-15_02-05-00,160,10,512,1536,0.12604523,0.091278076,0.11053467
160x_2025-05-15_02-05-00,160,11,512,2048,0.14421082,0.11128616,0.12833023
160x_2025-05-15_02-05-00,160,12,512,2560,0.177948,0.18297195,0.161129
160x_2025-05-15_02-05-00,160,13,512,3072,0.2409935,0.38635635,0.24074554
160x_2025-05-15_02-05-00,160,14,1024,0,0.14501572,0.0955925,0.12832642
160x_2025-05-15_02-05-00,160,15,1024,512,0.13638306,0.077926636,0.116859436
160x_2025-05-15_02-05-00,160,16,1024,1024,0.137043,0.07870102,0.115608215
160x_2025-05-15_02-05-00,160,17,1024,1536,0.13526154,0.0797081,0.11362839
160x_2025-05-15_02-05-00,160,18,1024,2048,0.13903427,0.12092209,0.12926483
160x_2025-05-15_02-05-00,160,19,1024,2560,0.15017319,0.1557846,0.1389122
160x_2025-05-15_02-05-00,160,20,1024,3072,0.23765945,0.3761139,0.23351288
160x_2025-05-15_02-05-00,160,21,1536,0,0.14463043,0.11117172,0.13327026
160x_2025-05-15_02-05-00,160,22,1536,512,0.12495422,0.07626343,0.11152649
160x_2025-05-15_02-05-00,160,23,1536,1024,0.11954117,0.076187134,0.106082916
160x_2025-05-15_02-05-00,160,24,1536,1536,0.13450623,0.087589264,0.11325836
160x_2025-05-15_02-05-00,160,25,1536,2048,0.13769913,0.09857559,0.12119675
160x_2025-05-15_02-05-00,160,26,1536,2560,0.16541672,0.15858078,0.14733505
160x_2025-05-15_02-05-00,160,27,1536,3072,0.2406578,0.3790741,0.235569
2560x_2025-05-16_00-59-00_002,2560,0,0,0,0.012359619,0.009483337,0.012557983
2560x_2025-05-16_00-59-00_002,2560,1,0,512,0.010150909,0.008010864,0.010211945
2560x_2025-05-16_00-59-00_002,2560,2,0,1024,0.010585785,0.0081214905,0.010536194
2560x_2025-05-16_00-59-00_002,2560,3,0,1536,0.010219574,0.007938385,0.010501862
2560x_2025-05-16_00-59-00_002,2560,4,0,2048,0.0102005005,0.0077400208,0.010276794
2560x_2025-05-16_00-59-00_002,2560,5,0,2560,0.012939453,0.009670258,0.013156891
2560x_2025-05-16_00-59-00_002,2560,6,0,3072,0.013683319,0.010234833,0.014461517
2560x_2025-05-16_00-59-00_002,2560,7,512,0,0.010314941,0.00806427,0.010429382
2560x_2025-05-16_00-59-00_002,2560,8,512,512,0.008518219,0.006587982,0.00868988
2560x_2025-05-16_00-59-00_002,2560,9,512,1024,0.009918213,0.007522583,0.009738922
2560x_2025-05-16_00-59-00_002,2560,10,512,1536,0.011436462,0.008987427,0.0116119385
2560x_2025-05-16_00-59-00_002,2560,11,512,2048,0.010440826,0.007904053,0.010456085
2560x_2025-05-16_00-59-00_002,2560,12,512,2560,0.011318207,0.0085372925,0.011138916
2560x_2025-05-16_00-59-00_002,2560,13,512,3072,0.012428284,0.0092659,0.012943268
2560x_2025-05-16_00-59-00_002,2560,14,1024,0,0.011474609,0.009105682,0.011642456
2560x_2025-05-16_00-59-00_002,2560,15,1024,512,0.010211945,0.00786972,0.010028839
2560x_2025-05-16_00-59-00_002,2560,16,1024,1024,0.009223938,0.0072669983,0.009319305
2560x_2025-05-16_00-59-00_002,2560,17,1024,1536,0.011127472,0.008869171,0.011425018
2560x_2025-05-16_00-59-00_002,2560,18,1024,2048,0.0113220215,0.008766174,0.011142731
2560x_2025-05-16_00-59-00_002,2560,19,1024,2560,0.011302948,0.008533478,0.011463165
2560x_2025-05-16_00-59-00_002,2560,20,1024,3072,0.013511658,0.009979248,0.013473511
2560x_2025-05-16_00-59-00_002,2560,21,1536,0,0.010246277,0.007862091,0.010047913
2560x_2025-05-16_00-59-00_002,2560,22,1536,512,0.009773254,0.0076828003,0.009674072
2560x_2025-05-16_00-59-00_002,2560,23,1536,1024,0.009422302,0.0072784424,0.009536743
2560x_2025-05-16_00-59-00_002,2560,24,1536,1536,0.01084137,0.00850296,0.0108680725
2560x_2025-05-16_00-59-00_002,2560,25,1536,2048,0.009521484,0.007419586,0.009757996
2560x_2025-05-16_00-59-00_002,2560,26,1536,2560,0.011062622,0.00856781,0.01102066
2560x_2025-05-16_00-59-00_002,2560,27,1536,3072,0.011749268,0.00894165,0.011878967
320x_2025-05-15_02-05-00,320,0,0,0,0.06884384,0.05186844,0.07450104
320x_2025-05-15_02-05-00,320,1,0,512,0.06467819,0.047237396,0.059841156
320x_2025-05-15_02-05-00,320,2,0,1024,0.0629158,0.046417236,0.058223724
320x_2025-05-15_02-05-00,320,3,0,1536,0.056735992,0.042144775,0.05208206
320x_2025-05-15_02-05-00,320,4,0,2048,0.054553986,0.040802002,0.05117798
320x_2025-05-15_02-05-00,320,5,0,2560,0.058425903,0.046043396,0.05845642
320x_2025-05-15_02-05-00,320,6,0,3072,0.05647278,0.04598999,0.06480408
320x_2025-05-15_02-05-00,320,7,512,0,0.07129288,0.05487442,0.07094574
320x_2025-05-15_02-05-00,320,8,512,512,0.061431885,0.046100616,0.05645752
320x_2025-05-15_02-05-00,320,9,512,1024,0.05979538,0.042167664,0.05398941
320x_2025-05-15_02-05-00,320,10,512,1536,0.053649902,0.039089203,0.048942566
320x_2025-05-15_02-05-00,320,11,512,2048,0.05783844,0.041519165,0.05195999
320x_2025-05-15_02-05-00,320,12,512,2560,0.05356598,0.039783478,0.049114227
320x_2025-05-15_02-05-00,320,13,512,3072,0.05966568,0.047229767,0.05978012
320x_2025-05-15_02-05-00,320,14,1024,0,0.06317139,0.0476532,0.06322479
320x_2025-05-15_02-05-00,320,15,1024,512,0.058979034,0.043071747,0.05411911
320x_2025-05-15_02-05-00,320,16,1024,1024,0.058685303,0.041820526,0.053028107
320x_2025-05-15_02-05-00,320,17,1024,1536,0.056396484,0.038196564,0.049293518
320x_2025-05-15_02-05-00,320,18,1024,2048,0.053489685,0.03944397,0.04933548
320x_2025-05-15_02-05-00,320,19,1024,2560,0.049316406,0.038204193,0.046333313
320x_2025-05-15_02-05-00,320,20,1024,3072,0.062610626,0.044864655,0.0578537
320x_2025-05-15_02-05-00,320,21,1536,0,0.048664093,0.030204773,0.055015564
320x_2025-05-15_02-05-00,320,22,1536,512,0.06394577,0.04486084,0.05675888
320x_2025-05-15_02-05-00,320,23,1536,1024,0.062316895,0.04456711,0.05496216
320x_2025-05-15_02-05-00,320,24,1536,1536,0.055900574,0.04007721,0.049613953
320x_2025-05-15_02-05-00,320,25,1536,2048,0.062511444,0.042778015,0.054836273
320x_2025-05-15_02-05-00,320,26,1536,2560,0.057540894,0.043216705,0.052822113
320x_2025-05-15_02-05-00,320,27,1536,3072,0.06915283,0.05317688,0.06512451
5120x_2025-05-16_00-59-00,5120,0,0,0,0.008598328,0.006340027,0.009059906
5120x_2025-05-16_00-59-00,5120,1,0,512,0.006877899,0.0050621033,0.007183075
5120x_2025-05-16_00-59-00,5120,2,0,1024,0.0056152344,0.004310608,0.0062828064
5120x_2025-05-16_00-59-00,5120,3,0,1536,0.005329132,0.0039482117,0.005897522
5120x_2025-05-16_00-59-00,5120,4,0,2048,0.006340027,0.0044174194,0.0068130493
5120x_2025-05-16_00-59-00,5120,5,0,2560,0.0074501038,0.0053710938,0.008125305
5120x_2025-05-16_00-59-00,5120,6,0,3072,0.006538391,0.004611969,0.007091522
5120x_2025-05-16_00-59-00,5120,7,512,0,0.0063171387,0.0047187805,0.0067596436
5120x_2025-05-16_00-59-00,5120,8,512,512,0.004890442,0.0037574768,0.0056419373
5120x_2025-05-16_00-59-00,5120,9,512,1024,0.005645752,0.0042877197,0.006137848
5120x_2025-05-16_00-59-00,5120,10,512,1536,0.005672455,0.004398346,0.006275177
5120x_2025-05-16_00-59-00,5120,11,512,2048,0.0061073303,0.0045280457,0.0064964294
5120x_2025-05-16_00-59-00,5120,12,512,2560,0.0065307617,0.00466156,0.0067100525
5120x_2025-05-16_00-59-00,5120,13,512,3072,0.0077781677,0.005218506,0.008071899
5120x_2025-05-16_00-59-00,5120,14,1024,0,0.006729126,0.005180359,0.007411957
5120x_2025-05-16_00-59-00,5120,15,1024,512,0.0060310364,0.0046806335,0.0067634583
5120x_2025-05-16_00-59-00,5120,16,1024,1024,0.0060653687,0.0049476624,0.0070343018
5120x_2025-05-16_00-59-00,5120,17,1024,1536,0.006450653,0.005092621,0.0072631836
5120x_2025-05-16_00-59-00,5120,18,1024,2048,0.005050659,0.003921509,0.0058174133
5120x_2025-05-16_00-59-00,5120,19,1024,2560,0.007385254,0.005531311,0.008033752
5120x_2025-05-16_00-59-00,5120,20,1024,3072,0.007984161,0.0058059692,0.008590698
5120x_2025-05-16_00-59-00,5120,21,1536,0,0.0067977905,0.0051078796,0.0071983337
5120x_2025-05-16_00-59-00,5120,22,1536,512,0.0056762695,0.004371643,0.006416321
5120x_2025-05-16_00-59-00,5120,23,1536,1024,0.0052948,0.0040664673,0.0060691833
5120x_2025-05-16_00-59-00,5120,24,1536,1536,0.005783081,0.004512787,0.0066490173
5120x_2025-05-16_00-59-00,5120,25,1536,2048,0.0060424805,0.004600525,0.0067367554
5120x_2025-05-16_00-59-00,5120,26,1536,2560,0.0059013367,0.0044517517,0.0064201355
5120x_2025-05-16_00-59-00,5120,27,1536,3072,0.0070877075,0.0051574707,0.00756073
640x_2025-05-16_00-59-00_002,640,0,0,0,0.050361633,0.03850174,0.047943115
640x_2025-05-16_00-59-00_002,640,1,0,512,0.039398193,0.032741547,0.03655243
640x_2025-05-16_00-59-00_002,640,2,0,1024,0.035003662,0.02797699,0.034992218
640x_2025-05-16_00-59-00_002,640,3,0,1536,0.03422928,0.026615143,0.033943176
640x_2025-05-16_00-59-00_002,640,4,0,2048,0.035816193,0.02815628,0.03529358
640x_2025-05-16_00-59-00_002,640,5,0,2560,0.03850937,0.029743195,0.038700104
640x_2025-05-16_00-59-00_002,640,6,0,3072,0.041362762,0.030841827,0.04222107
640x_2025-05-16_00-59-00_002,640,7,512,0,0.036026,0.030319214,0.032081604
640x_2025-05-16_00-59-00_002,640,8,512,512,0.034851074,0.027267456,0.033058167
640x_2025-05-16_00-59-00_002,640,9,512,1024,0.028770447,0.023399353,0.028839111
640x_2025-05-16_00-59-00_002,640,10,512,1536,0.028915405,0.02286911,0.028957367
640x_2025-05-16_00-59-00_002,640,11,512,2048,0.028514862,0.022388458,0.028587341
640x_2025-05-16_00-59-00_002,640,12,512,2560,0.033924103,0.02646637,0.032146454
640x_2025-05-16_00-59-00_002,640,13,512,3072,0.041484833,0.031471252,0.04042816
640x_2025-05-16_00-59-00_002,640,14,1024,0,0.0388031,0.03093338,0.036548615
640x_2025-05-16_00-59-00_002,640,15,1024,512,0.029418945,0.023117065,0.028972626
640x_2025-05-16_00-59-00_002,640,16,1024,1024,0.026260376,0.021614075,0.027515411
640x_2025-05-16_00-59-00_002,640,17,1024,1536,0.020881653,0.017307281,0.02161026
640x_2025-05-16_00-59-00_002,640,18,1024,2048,0.022594452,0.018230438,0.022953033
640x_2025-05-16_00-59-00_002,640,19,1024,2560,0.027088165,0.02092743,0.026779175
640x_2025-05-16_00-59-00_002,640,20,1024,3072,0.0418396,0.031406403,0.041080475
640x_2025-05-16_00-59-00_002,640,21,1536,0,0.03769684,0.029647827,0.035045624
640x_2025-05-16_00-59-00_002,640,22,1536,512,0.030303955,0.02412033,0.029788971
640x_2025-05-16_00-59-00_002,640,23,1536,1024,0.027202606,0.02223587,0.027965546
