image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,0,0,0,0.0067749023,0.0012359619,0.0,0.0,0.0137786865234375,0.4085540771484375
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,1,0,512,0.0032043457,0.00048446655,0.0,0.0,0.33364105224609375,0.37102508544921875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,2,0,1024,0.0035057068,0.0007286072,0.0,0.0,0.24831008911132812,0.47954559326171875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,3,0,1536,0.0019874573,0.00030899048,0.0,0.0,0.23636245727539062,0.5380973815917969
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,4,0,2048,0.0038795471,0.0008392334,0.0,0.0,0.26818084716796875,0.4058189392089844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,5,0,2560,0.003036499,0.00061416626,0.0,0.0,0.3333702087402344,0.5608749389648438
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,6,0,3072,0.010005951,0.0002670288,1.9073486e-05,0.0,0.2416229248046875,0.24615097045898438
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,7,512,0,0.0045700073,0.0009651184,0.0,0.0,0.4837150573730469,0.5058784484863281
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,8,512,512,0.0030288696,0.0007133484,0.0,0.0,0.7830810546875,0.5483131408691406
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,9,512,1024,0.003440857,0.00079345703,0.0,0.0,0.31491851806640625,0.4955940246582031
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,10,512,1536,0.0037193298,0.00090408325,7.6293945e-06,0.0,0.22344970703125,0.5264244079589844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,11,512,2048,0.0011978149,0.00017929077,0.0,0.0,0.2936058044433594,0.5729217529296875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,12,512,2560,0.0022583008,0.00047302246,0.0,0.0,0.2626152038574219,0.5464363098144531
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,13,512,3072,0.005104065,0.00077819824,0.0,0.0,0.3017120361328125,0.4801826477050781
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,14,1024,0,0.006340027,0.0008506775,0.0,0.0,0.27057647705078125,0.5289077758789062
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,15,1024,512,0.0020256042,0.0,0.0,0.0,0.30950164794921875,0.5337066650390625
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,16,1024,1024,0.0030937195,0.00091934204,0.0,0.0,0.3813056945800781,0.4910926818847656
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,17,1024,1536,0.00061035156,0.0001449585,0.0,0.0,0.7844963073730469,0.5455741882324219
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,18,1024,2048,0.0012359619,0.0002975464,0.0,0.0,0.4682731628417969,0.4964790344238281
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,19,1024,2560,0.0036888123,0.00060653687,0.0,0.0,0.18065643310546875,0.4650535583496094
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,20,1024,3072,0.004337311,0.00036621094,0.0,0.0,0.21786880493164062,0.5305633544921875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,21,1536,0,0.0067977905,0.0011978149,1.5258789e-05,0.0,0.14547348022460938,0.45782470703125
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,22,1536,512,0.0051879883,0.0004310608,7.6293945e-06,0.0,0.21901702880859375,0.4920005798339844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,23,1536,1024,0.005241394,0.00036621094,0.0,0.0,0.23349380493164062,0.5188179016113281
