image,dilution,dilution_label,tile_idx,position_y,position_x,architecture,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,10,512,1536,UNet,0.002635955810546875,0.00095367431640625,6.103515625e-05,0.0,0.6691169738769531,0.5264244079589844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,10,512,1536,Attention_UNet,0.00372314453125,0.000904083251953125,7.62939453125e-06,0.0,0.7765426635742188,0.5264244079589844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,10,512,1536,Attention_ResUNet,0.002506256103515625,0.000843048095703125,0.0,0.0,0.9706649780273438,0.5264244079589844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,11,512,2048,UNet,0.000499725341796875,0.00018310546875,1.9073486328125e-05,0.0,0.5768508911132812,0.5729217529296875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,11,512,2048,Attention_UNet,0.00119781494140625,0.000179290771484375,0.0,0.0,0.7063674926757812,0.5729217529296875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,11,512,2048,Attention_ResUNet,0.00046539306640625,0.000164031982421875,0.0,0.0,0.9636001586914062,0.5729217529296875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,12,512,2560,UNet,0.002166748046875,0.0005035400390625,1.52587890625e-05,0.0,0.6237869262695312,0.5464363098144531
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,12,512,2560,Attention_UNet,0.00225830078125,0.0004730224609375,0.0,0.0,0.7373275756835938,0.5464363098144531
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,12,512,2560,Attention_ResUNet,0.00128936767578125,0.000431060791015625,0.0,0.0,0.9585952758789062,0.5464363098144531
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,13,512,3072,UNet,0.00388336181640625,0.000820159912109375,0.0,0.0,0.6758308410644531,0.4801826477050781
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,13,512,3072,Attention_UNet,0.00510406494140625,0.0007781982421875,0.0,0.0,0.6982765197753906,0.4801826477050781
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,13,512,3072,Attention_ResUNet,0.002197265625,0.00066375732421875,0.0,0.0,0.9456863403320312,0.4801826477050781
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,14,1024,0,UNet,0.003376007080078125,0.00090789794921875,8.392333984375e-05,0.0,0.6452140808105469,0.5289077758789062
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,14,1024,0,Attention_UNet,0.00634002685546875,0.000850677490234375,0.0,0.0,0.729461669921875,0.5289077758789062
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,14,1024,0,Attention_ResUNet,0.00136566162109375,0.000255584716796875,0.0,0.0,0.6365585327148438,0.5289077758789062
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,15,1024,512,UNet,0.0003662109375,0.0,0.0,0.0,0.5983161926269531,0.5337066650390625
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,15,1024,512,Attention_UNet,0.00202178955078125,0.0,0.0,0.0,0.6904373168945312,0.5337066650390625
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,15,1024,512,Attention_ResUNet,3.0517578125e-05,0.0,0.0,0.0,0.6352424621582031,0.5337066650390625
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,16,1024,1024,UNet,0.00429534912109375,0.001117706298828125,1.1444091796875e-05,0.0,0.6746368408203125,0.4910926818847656
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,16,1024,1024,Attention_UNet,0.003093719482421875,0.000919342041015625,0.0,0.0,0.6186447143554688,0.4910926818847656
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,16,1024,1024,Attention_ResUNet,0.00274658203125,0.000850677490234375,0.0,0.0,0.9862213134765625,0.4910926818847656
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,17,1024,1536,UNet,0.000579833984375,0.000156402587890625,3.814697265625e-06,0.0,0.6161117553710938,0.5455741882324219
