image,dilution,dilution_label,tile_idx,position_y,position_x,density
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,19,1024,2560,0.015029907
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,20,1024,3072,0.023605347
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,21,1536,0,0.023181915
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,22,1536,512,0.01922226
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,23,1536,1024,0.013427734
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,24,1536,1536,0.013889313
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,25,1536,2048,0.012031555
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,26,1536,2560,0.017654419
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,27,1536,3072,0.024147034
160x_2025-05-15_02-05-00.tif,160,160x,0,0,0,0.3475113
160x_2025-05-15_02-05-00.tif,160,160x,1,0,512,0.2749939
160x_2025-05-15_02-05-00.tif,160,160x,2,0,1024,0.2569847
160x_2025-05-15_02-05-00.tif,160,160x,3,0,1536,0.28107834
160x_2025-05-15_02-05-00.tif,160,160x,4,0,2048,0.30409622
160x_2025-05-15_02-05-00.tif,160,160x,5,0,2560,0.34560013
160x_2025-05-15_02-05-00.tif,160,160x,6,0,3072,0.38965607
160x_2025-05-15_02-05-00.tif,160,160x,7,512,0,0.28817368
160x_2025-05-15_02-05-00.tif,160,160x,8,512,512,0.25078583
160x_2025-05-15_02-05-00.tif,160,160x,9,512,1024,0.21327591
160x_2025-05-15_02-05-00.tif,160,160x,10,512,1536,0.23557281
160x_2025-05-15_02-05-00.tif,160,160x,11,512,2048,0.26623154
160x_2025-05-15_02-05-00.tif,160,160x,12,512,2560,0.31155396
160x_2025-05-15_02-05-00.tif,160,160x,13,512,3072,0.43458176
160x_2025-05-15_02-05-00.tif,160,160x,14,1024,0,0.2674942
160x_2025-05-15_02-05-00.tif,160,160x,15,1024,512,0.24282837
160x_2025-05-15_02-05-00.tif,160,160x,16,1024,1024,0.23087692
160x_2025-05-15_02-05-00.tif,160,160x,17,1024,1536,0.21796036
160x_2025-05-15_02-05-00.tif,160,160x,18,1024,2048,0.24879074
160x_2025-05-15_02-05-00.tif,160,160x,19,1024,2560,0.26600266
160x_2025-05-15_02-05-00.tif,160,160x,20,1024,3072,0.38524246
160x_2025-05-15_02-05-00.tif,160,160x,21,1536,0,0.27560043
160x_2025-05-15_02-05-00.tif,160,160x,22,1536,512,0.2365036
160x_2025-05-15_02-05-00.tif,160,160x,23,1536,1024,0.2250557
160x_2025-05-15_02-05-00.tif,160,160x,24,1536,1536,0.22227097
160x_2025-05-15_02-05-00.tif,160,160x,25,1536,2048,0.2229805
160x_2025-05-15_02-05-00.tif,160,160x,26,1536,2560,0.25394058
160x_2025-05-15_02-05-00.tif,160,160x,27,1536,3072,0.3690071
20x_2025-05-15_02-05-00.tif,20,20x,0,0,0,0.8110161
20x_2025-05-15_02-05-00.tif,20,20x,1,0,512,0.8181839
20x_2025-05-15_02-05-00.tif,20,20x,2,0,1024,0.8202095
20x_2025-05-15_02-05-00.tif,20,20x,3,0,1536,0.8090172
20x_2025-05-15_02-05-00.tif,20,20x,4,0,2048,0.7991257
20x_2025-05-15_02-05-00.tif,20,20x,5,0,2560,0.80747604
20x_2025-05-15_02-05-00.tif,20,20x,6,0,3072,0.76146317
20x_2025-05-15_02-05-00.tif,20,20x,7,512,0,0.8030586
20x_2025-05-15_02-05-00.tif,20,20x,8,512,512,0.80524826
20x_2025-05-15_02-05-00.tif,20,20x,9,512,1024,0.80259323
20x_2025-05-15_02-05-00.tif,20,20x,10,512,1536,0.80319977
20x_2025-05-15_02-05-00.tif,20,20x,11,512,2048,0.7995453
20x_2025-05-15_02-05-00.tif,20,20x,12,512,2560,0.7875595
20x_2025-05-15_02-05-00.tif,20,20x,13,512,3072,0.759346
20x_2025-05-15_02-05-00.tif,20,20x,14,1024,0,0.78673553
20x_2025-05-15_02-05-00.tif,20,20x,15,1024,512,0.789814
20x_2025-05-15_02-05-00.tif,20,20x,16,1024,1024,0.7923317
20x_2025-05-15_02-05-00.tif,20,20x,17,1024,1536,0.7979927
20x_2025-05-15_02-05-00.tif,20,20x,18,1024,2048,0.78697586
20x_2025-05-15_02-05-00.tif,20,20x,19,1024,2560,0.7719574
20x_2025-05-15_02-05-00.tif,20,20x,20,1024,3072,0.7504463
20x_2025-05-15_02-05-00.tif,20,20x,21,1536,0,0.76849747
20x_2025-05-15_02-05-00.tif,20,20x,22,1536,512,0.753273
20x_2025-05-15_02-05-00.tif,20,20x,23,1536,1024,0.76804733
20x_2025-05-15_02-05-00.tif,20,20x,24,1536,1536,0.77160263
20x_2025-05-15_02-05-00.tif,20,20x,25,1536,2048,0.7522354
20x_2025-05-15_02-05-00.tif,20,20x,26,1536,2560,0.7394638
20x_2025-05-15_02-05-00.tif,20,20x,27,1536,3072,0.7160988
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,0,0,0,0.0055236816
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,1,0,512,0.0026893616
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,2,0,1024,0.0026741028
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,3,0,1536,0.003353119
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,4,0,2048,0.0035209656
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,5,0,2560,0.0021400452
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,6,0,3072,0.002708435
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,7,512,0,0.003025055
