loss,accuracy,jacard_coef,val_loss,val_accuracy,val_jacard_coef,lr
0.14299829304218292,0.858758270740509,0.3854794204235077,0.22116686403751373,0.2737206220626831,0.06758422404527664,0.001
0.10080527514219284,0.9683154821395874,0.5995364189147949,0.10279102623462677,0.9313852190971375,3.396883685793939e-12,0.001
0.07930835336446762,0.9801438450813293,0.7015687823295593,0.1009412407875061,0.9461486339569092,0.30892235040664673,0.001
0.06843755394220352,0.980302095413208,0.6962014436721802,0.08012142777442932,0.9313864707946777,0.00012349778262432665,0.001
0.0578225702047348,0.9816034436225891,0.7102852463722229,0.05317018926143646,0.9816936254501343,0.7440223693847656,0.001
0.04817499220371246,0.9863020777702332,0.7653613090515137,0.05683610588312149,0.9521743059158325,0.3022044897079468,0.001
0.04032228887081146,0.9874630570411682,0.7891542315483093,0.03955424949526787,0.9641962647438049,0.4934435486793518,0.001
0.03379753977060318,0.9899181723594666,0.825469434261322,0.035195764154195786,0.9820957183837891,0.7674953937530518,0.001
0.028973449021577835,0.9912739396095276,0.8405925631523132,0.04085661843419075,0.972420871257782,0.6576376557350159,0.001
0.026756327599287033,0.9905716776847839,0.8305201530456543,0.046984050422906876,0.9533252120018005,0.3239026665687561,0.001
0.023484570905566216,0.991273820400238,0.8445226550102234,0.03151731938123703,0.9842529296875,0.7856748104095459,0.001
0.020175443962216377,0.9928268194198608,0.8689152002334595,0.02268456295132637,0.9800818562507629,0.7200326919555664,0.001
0.018221868202090263,0.9927297830581665,0.8724806904792786,0.031283073127269745,0.9693355560302734,0.5638772249221802,0.001
0.015801727771759033,0.9937005639076233,0.889571487903595,0.01646874099969864,0.9868672490119934,0.8082036972045898,0.001
0.014576194807887077,0.9939734935760498,0.8915198445320129,0.019522372633218765,0.9808213710784912,0.7257835865020752,0.001
0.014554079622030258,0.9925721883773804,0.8677380681037903,0.026659924536943436,0.9746050834655762,0.6410058736801147,0.001
0.01933560147881508,0.9854516386985779,0.7613769173622131,0.1364208161830902,0.9668136835098267,0.6736435294151306,0.001
0.014170282520353794,0.9907452464103699,0.8383470773696899,0.012006678618490696,0.9911696314811707,0.8734705448150635,0.001
0.011771676130592823,0.9928819537162781,0.8730393052101135,0.020607933402061462,0.9795874357223511,0.7068182826042175,0.001
0.015584665350615978,0.9873628616333008,0.7850533127784729,0.027853267267346382,0.9705730676651001,0.580594003200531,0.001
