val_jaccard,train_jaccard,best_epoch,total_epochs,overfitting_gap,batch_size_used,oom_retries,success,fold,config_name,architecture,lr,dropout,batch_size
0.14528873562812805,0.15918129682540894,9,17,1.3892561197280884,2,0,True,1,resunet_lr5e-05_drop0.2_bs2,resunet,5e-05,0.2,2
0.10258021205663681,0.11408191919326782,0,8,1.1501707136631012,2,0,True,2,resunet_lr5e-05_drop0.2_bs2,resunet,5e-05,0.2,2
0.16891925036907196,0.13373099267482758,9,17,-3.5188257694244385,2,0,True,3,resunet_lr5e-05_drop0.2_bs2,resunet,5e-05,0.2,2
0.14063316583633423,0.1667497307062149,0,8,2.6116564869880676,4,0,True,1,resunet_lr5e-05_drop0.2_bs4,resunet,5e-05,0.2,4
0.11810122430324554,0.10478594899177551,0,8,-1.3315275311470032,4,0,True,2,resunet_lr5e-05_drop0.2_bs4,resunet,5e-05,0.2,4
0.1498178392648697,0.11535034328699112,0,8,-3.446749597787857,4,0,True,3,resunet_lr5e-05_drop0.2_bs4,resunet,5e-05,0.2,4
0.12353920936584473,0.1312374621629715,7,15,0.769825279712677,2,0,True,1,resunet_lr5e-05_drop0.3_bs2,resunet,5e-05,0.3,2
0.10234389454126358,0.1705344021320343,0,8,6.819050759077072,2,0,True,2,resunet_lr5e-05_drop0.3_bs2,resunet,5e-05,0.3,2
0.16074888408184052,0.1133294552564621,4,12,-4.741942882537842,2,0,True,3,resunet_lr5e-05_drop0.3_bs2,resunet,5e-05,0.3,2
0.17379778623580933,0.1562974750995636,17,25,-1.7500311136245728,4,0,True,1,resunet_lr5e-05_drop0.3_bs4,resunet,5e-05,0.3,4
0.1405673623085022,0.1890554130077362,29,30,4.848805069923401,4,0,True,2,resunet_lr5e-05_drop0.3_bs4,resunet,5e-05,0.3,4
0.15021559596061707,0.15894848108291626,0,8,0.8732885122299194,4,0,True,3,resunet_lr5e-05_drop0.3_bs4,resunet,5e-05,0.3,4
0.13607919216156006,0.14560642838478088,9,17,0.9527236223220825,2,0,True,1,attention_resunet_lr0.0001_drop0.2_bs2,attention_resunet,0.0001,0.2,2
0.1288401335477829,0.17087127268314362,15,23,4.203113913536072,2,0,True,2,attention_resunet_lr0.0001_drop0.2_bs2,attention_resunet,0.0001,0.2,2
0.18007320165634155,0.11822140216827393,13,21,-6.185179948806763,2,0,True,3,attention_resunet_lr0.0001_drop0.2_bs2,attention_resunet,0.0001,0.2,2
0.1463460475206375,0.14456453919410706,1,9,-0.17815083265304565,4,0,True,1,attention_resunet_lr0.0001_drop0.2_bs4,attention_resunet,0.0001,0.2,4
0.1511230319738388,0.1670520305633545,29,30,1.5928998589515686,4,0,True,2,attention_resunet_lr0.0001_drop0.2_bs4,attention_resunet,0.0001,0.2,4
