architecture,n_filters,dropout,learning_rate,best_val_iou,model_name
attention_resunet,16,0.1,0.003,0.42384796142578124,attention_resunet_n_filters16_dropout0.1_learning_rate0.003
attention_resunet,16,0.1,0.005,0.502792489528656,attention_resunet_n_filters16_dropout0.1_learning_rate0.005
attention_resunet,16,0.2,0.001,0.46161561608314516,attention_resunet_n_filters16_dropout0.2_learning_rate0.001
attention_resunet,16,0.2,0.003,0.49645612835884095,attention_resunet_n_filters16_dropout0.2_learning_rate0.003
attention_resunet,16,0.2,0.005,0.48945756554603576,attention_resunet_n_filters16_dropout0.2_learning_rate0.005
attention_resunet,16,0.3,0.001,0.4191025495529175,attention_resunet_n_filters16_dropout0.3_learning_rate0.001
attention_resunet,16,0.3,0.003,0.4405388951301575,attention_resunet_n_filters16_dropout0.3_learning_rate0.003
attention_resunet,16,0.3,0.005,0.0001203036574473515,attention_resunet_n_filters16_dropout0.3_learning_rate0.005
attention_resunet,32,0.1,0.001,0.5106088399887085,attention_resunet_n_filters32_dropout0.1_learning_rate0.001
attention_resunet,32,0.1,0.003,0.5157490909099579,attention_resunet_n_filters32_dropout0.1_learning_rate0.003
attention_resunet,32,0.1,0.005,0.48330131769180296,attention_resunet_n_filters32_dropout0.1_learning_rate0.005
attention_resunet,32,0.2,0.001,0.505935686826706,attention_resunet_n_filters32_dropout0.2_learning_rate0.001
attention_resunet,32,0.2,0.003,0.46304420828819276,attention_resunet_n_filters32_dropout0.2_learning_rate0.003
attention_resunet,32,0.2,0.005,0.4458543062210083,attention_resunet_n_filters32_dropout0.2_learning_rate0.005
attention_resunet,32,0.3,0.001,0.4913918375968933,attention_resunet_n_filters32_dropout0.3_learning_rate0.001
attention_resunet,32,0.3,0.003,0.4303375482559204,attention_resunet_n_filters32_dropout0.3_learning_rate0.003
attention_resunet,32,0.3,0.005,0.28977840542793276,attention_resunet_n_filters32_dropout0.3_learning_rate0.005
attention_resunet,64,0.1,0.001,0.6029725670814514,attention_resunet_n_filters64_dropout0.1_learning_rate0.001
attention_resunet,64,0.1,0.003,0.44749242067337036,attention_resunet_n_filters64_dropout0.1_learning_rate0.003
attention_resunet,64,0.1,0.005,0.42254639863967897,attention_resunet_n_filters64_dropout0.1_learning_rate0.005
attention_resunet,64,0.2,0.001,0.5520708322525024,attention_resunet_n_filters64_dropout0.2_learning_rate0.001
attention_resunet,64,0.2,0.003,0.40684412121772767,attention_resunet_n_filters64_dropout0.2_learning_rate0.003
attention_resunet,64,0.2,0.005,0.20584096908569335,attention_resunet_n_filters64_dropout0.2_learning_rate0.005
attention_resunet,64,0.3,0.001,0.48626003265380857,attention_resunet_n_filters64_dropout0.3_learning_rate0.001
attention_resunet,64,0.3,0.003,0.4205732673406601,attention_resunet_n_filters64_dropout0.3_learning_rate0.003
attention_resunet,64,0.3,0.005,0.43861591815948486,attention_resunet_n_filters64_dropout0.3_learning_rate0.005
