epoch,dice_coef,jacard_coef,loss,lr,val_dice_coef,val_jacard_coef,val_loss
0,0.26914501190185547,0.16238775849342346,0.060363370925188065,0.001,0.27992379665374756,0.16565877199172974,0.037697214633226395
1,0.3040637969970703,0.18564167618751526,0.034538790583610535,0.001,0.2698708176612854,0.1584804356098175,0.03673287481069565
2,0.31619521975517273,0.19530369341373444,0.028581079095602036,0.001,0.24948707222938538,0.14433981478214264,0.03447231277823448
3,0.3331306576728821,0.20978066325187683,0.023684361949563026,0.001,0.2529718279838562,0.1467234492301941,0.0325155034661293
4,0.36215728521347046,0.22926993668079376,0.020954038947820663,0.001,0.24121704697608948,0.13874197006225586,0.034694187343120575
5,0.3260555863380432,0.20462918281555176,0.02188338153064251,0.001,0.23958949744701385,0.13763955235481262,0.03507564216852188
6,0.32268744707107544,0.20390684902668,0.020183181390166283,0.001,0.22053006291389465,0.12503114342689514,0.04241325706243515
7,0.36084219813346863,0.23088374733924866,0.01747685670852661,0.001,0.23195397853851318,0.1325238198041916,0.03807738423347473
8,0.35800307989120483,0.2286263406276703,0.01665974035859108,0.001,0.21419627964496613,0.12091848999261856,0.04424089565873146
9,0.3295389711856842,0.2148948460817337,0.01666053757071495,0.001,0.1933339536190033,0.10755033791065216,0.055238403379917145
10,0.36456620693206787,0.23847422003746033,0.015370965003967285,0.001,0.15852126479148865,0.08664514124393463,0.07858280837535858
11,0.3768550157546997,0.2517476975917816,0.01453228760510683,0.0005,0.1845736801624298,0.10225281864404678,0.061321258544921875
12,0.4111521244049072,0.27207547426223755,0.012930838391184807,0.0005,0.17826847732067108,0.09826928377151489,0.06668315082788467
13,0.4031675457954407,0.2696635127067566,0.012237010523676872,0.0005,0.21197986602783203,0.11947125196456909,0.052231550216674805
14,0.4201746881008148,0.28663820028305054,0.01120615191757679,0.0005,0.21049365401268005,0.11878736317157745,0.053084563463926315
15,0.43509072065353394,0.2936233878135681,0.011576173827052116,0.0005,0.22453412413597107,0.12761005759239197,0.04705769568681717
16,0.42241159081459045,0.28822630643844604,0.011887420900166035,0.0005,0.2556970715522766,0.14805273711681366,0.041485950350761414
17,0.4136224687099457,0.2782861590385437,0.011348052881658077,0.0005,0.26220712065696716,0.15258416533470154,0.04062708094716072
18,0.428916871547699,0.29321303963661194,0.010250228457152843,0.0005,0.2789258360862732,0.16435323655605316,0.0365748256444931
19,0.43909233808517456,0.3028302788734436,0.010097876191139221,0.0005,0.32262036204338074,0.19664502143859863,0.028400281444191933
20,0.36061733961105347,0.2398967295885086,0.014411063864827156,0.0005,0.4082658290863037,0.25898662209510803,0.02169887349009514
21,0.43885931372642517,0.30332934856414795,0.010278795845806599,0.0005,0.3864683508872986,0.2423393279314041,0.021783724427223206
22,0.43638139963150024,0.30270156264305115,0.009635335765779018,0.0005,0.42076897621154785,0.27274078130722046,0.015448051504790783
23,0.3671213984489441,0.24866823852062225,0.013725091703236103,0.0005,0.38894835114479065,0.24541983008384705,0.01459079422056675
24,0.4349552094936371,0.2940693199634552,0.011463060043752193,0.0005,0.4961525499820709,0.33646032214164734,0.011150328442454338
25,0.43090152740478516,0.30179563164711,0.010256974026560783,0.0005,0.4530819356441498,0.29703637957572937,0.01303802989423275
26,0.43125399947166443,0.2999436855316162,0.010377568192780018,0.0005,0.397177517414093,0.25287821888923645,0.0169566310942173
27,0.41882577538490295,0.2876812815666199,0.010704176500439644,0.0005,0.4574449956417084,0.302222341299057,0.012198335491120815
