epoch,dice_coef,jacard_coef,loss,lr,val_dice_coef,val_jacard_coef,val_loss
0,0.2772592306137085,0.1657472401857376,0.04945893958210945,0.001,0.28933149576187134,0.17395880818367004,0.03535684570670128
1,0.2801441550254822,0.17131829261779785,0.03243759274482727,0.001,0.30323249101638794,0.1813916563987732,0.13096073269844055
2,0.296897828578949,0.18635381758213043,0.02642887644469738,0.001,0.24280042946338654,0.13980217278003693,0.06322552263736725
3,0.31584587693214417,0.19504085183143616,0.022961245849728584,0.001,0.2496827095746994,0.14446404576301575,0.05924896150827408
4,0.31490251421928406,0.1965896189212799,0.02076834812760353,0.001,0.23374363780021667,0.13371941447257996,0.036454685032367706
5,0.30491089820861816,0.1915905773639679,0.020702142268419266,0.001,0.3038521707057953,0.18320396542549133,0.32875868678092957
6,0.33420416712760925,0.2120981514453888,0.017190279439091682,0.001,0.3398343622684479,0.21121971309185028,1.024346947669983
7,0.3558935523033142,0.22644825279712677,0.015646573156118393,0.001,0.2969777584075928,0.17800375819206238,0.15606863796710968
8,0.35200026631355286,0.22800032794475555,0.014772797003388405,0.001,0.294380784034729,0.17570511996746063,0.06520568579435349
9,0.3956148326396942,0.2573191821575165,0.012597077526152134,0.001,0.18441341817378998,0.10185693204402924,0.0608365423977375
10,0.35708436369895935,0.23464444279670715,0.013980235904455185,0.001,0.28575247526168823,0.16969402134418488,0.04279559105634689
11,0.38674771785736084,0.25451937317848206,0.014543467201292515,0.001,0.23000526428222656,0.13121187686920166,0.03828241303563118
12,0.3568412661552429,0.22915244102478027,0.015765413641929626,0.001,0.26136645674705505,0.15247385203838348,0.08720117062330246
13,0.3811191916465759,0.2502257823944092,0.012289736419916153,0.001,0.2604701519012451,0.15190041065216064,0.042140938341617584
14,0.40212875604629517,0.27073991298675537,0.011742839589715004,0.001,0.20887041091918945,0.11732494831085205,0.05568501353263855
15,0.34848418831825256,0.23050692677497864,0.013795122504234314,0.001,0.23773320019245148,0.13641270995140076,0.052795279771089554
16,0.3931518793106079,0.26662564277648926,0.011488622985780239,0.001,0.2863761782646179,0.17201638221740723,0.04177073389291763
17,0.44714340567588806,0.30334585905075073,0.009682531468570232,0.0005,0.23332040011882782,0.1326388418674469,0.04816045984625816
18,0.45536017417907715,0.31165647506713867,0.009177008643746376,0.0005,0.3075869083404541,0.1833890676498413,0.04028060659766197
19,0.4059751629829407,0.2798062562942505,0.010119576007127762,0.0005,0.30879074335098267,0.18306365609169006,0.04189004749059677
20,0.3873300850391388,0.2608698904514313,0.012111343443393707,0.0005,0.3420390486717224,0.2079584151506424,0.027621766552329063
21,0.4278152883052826,0.2939697802066803,0.009854602627456188,0.0005,0.448666512966156,0.29706892371177673,0.015081273391842842
22,0.45778822898864746,0.31908315420150757,0.008433118462562561,0.0005,0.4432205259799957,0.2977709472179413,0.01500681508332491
23,0.43128424882888794,0.3010491728782654,0.009759810753166676,0.0005,0.40356653928756714,0.2600570619106293,0.014671956188976765
24,0.44202518463134766,0.3047525882720947,0.00938486959785223,0.0005,0.4215148985385895,0.27253976464271545,0.01375498902052641
25,0.4622509479522705,0.3206128478050232,0.009478871710598469,0.0005,0.44927486777305603,0.2935832440853119,0.014887985773384571
26,0.45061445236206055,0.3131353259086609,0.008407214656472206,0.0005,0.4979916512966156,0.33786115050315857,0.009480498731136322
27,0.44131773710250854,0.3066784739494324,0.008561961352825165,0.0005,0.49281033873558044,0.3336872160434723,0.008974967524409294
28,0.4709421694278717,0.33175966143608093,0.007909675128757954,0.0005,0.4809134602546692,0.32181668281555176,0.010343252681195736
29,0.4398919939994812,0.3144386410713196,0.00783030316233635,0.0005,0.5245435833930969,0.3656052350997925,0.008038565516471863
30,0.44307461380958557,0.31742143630981445,0.007586938329041004,0.0005,0.529513955116272,0.3699248433113098,0.007869097404181957
31,0.4384140372276306,0.3120400011539459,0.007340134587138891,0.0005,0.5503491163253784,0.38970947265625,0.0075113847851753235
