image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold,density_clahe_otsu_pred,density_clahe_otsu_orig
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,0,0,0,0.01404953,0.9551849365234375,0.79638671875
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,1,0,512,0.012290955,0.9712715148925781,0.711578369140625
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,2,0,1024,0.013523102,0.9678497314453125,0.7233390808105469
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,3,0,1536,0.012775421,0.9720573425292969,0.7239913940429688
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,4,0,2048,0.011726379,0.9717903137207031,0.6779670715332031
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,5,0,2560,0.013534546,0.9553718566894531,0.6426124572753906
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,6,0,3072,0.011295319,0.9224357604980469,0.6620979309082031
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,7,512,0,0.012447357,0.9169578552246094,0.6894989013671875
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,8,512,512,0.009399414,0.9691658020019531,0.6177940368652344
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,9,512,1024,0.012699127,0.9694900512695312,0.6465606689453125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,10,512,1536,0.014598846,0.9665031433105469,0.6852455139160156
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,11,512,2048,0.012039185,0.97161865234375,0.9600906372070312
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,12,512,2560,0.012687683,0.9633598327636719,0.7533454895019531
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,13,512,3072,0.012630463,0.958709716796875,0.6240768432617188
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,14,1024,0,0.016693115,0.8733711242675781,0.862274169921875
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,15,1024,512,0.0134391785,0.9400062561035156,0.7593841552734375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,16,1024,1024,0.011253357,0.9688796997070312,0.6797637939453125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,17,1024,1536,0.014190674,0.9633407592773438,0.6730155944824219
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,18,1024,2048,0.014377594,0.9603767395019531,0.7090530395507812
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,19,1024,2560,0.01341629,0.9673690795898438,0.7485427856445312
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,20,1024,3072,0.0154418945,0.957275390625,0.71734619140625
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,21,1536,0,0.01335907,0.842742919921875,0.7698822021484375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,22,1536,512,0.013580322,0.8911705017089844,0.9706954956054688
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,23,1536,1024,0.010757446,0.9489097595214844,0.7554473876953125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,24,1536,1536,0.013004303,0.9593276977539062,0.9564704895019531
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,25,1536,2048,0.010585785,0.9720268249511719,0.6500129699707031
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,26,1536,2560,0.013031006,0.9654312133789062,0.6269989013671875
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,27,1536,3072,0.014183044,0.9611740112304688,0.7572097778320312
10x_2025-05-15_02-05-00.tif,10,10x,0,0,0,0.8108902,0.4215202331542969,0.3967781066894531
10x_2025-05-15_02-05-00.tif,10,10x,1,0,512,0.87008286,0.37720489501953125,0.3601341247558594
