image,dilution,dilution_label,n_tiles,mean_density_threshold,median_density_threshold,std_density_threshold,mean_density_clahe_otsu_pred,median_density_clahe_otsu_pred,std_density_clahe_otsu_pred,mean_density_clahe_otsu_orig,median_density_clahe_otsu_orig,std_density_clahe_otsu_orig
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,28,0.0129646575,0.013017654,0.001525572,0.950113160269601,0.9622573852539062,0.03234682425425825,0.7339529309953962,0.7144622802734375,0.0984187267226562
10x_2025-05-15_02-05-00.tif,10,10x,28,0.83525985,0.8426151,0.03182261,0.38661411830357145,0.3824272155761719,0.023228096752160757,0.35124928610665457,0.34786224365234375,0.022865295253155987
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,28,0.017676353,0.017326355,0.0038368423,0.9347946984427316,0.9489383697509766,0.03433913605909407,0.8286398478916713,0.8617420196533203,0.13196990960257532
160x_2025-05-15_02-05-00.tif,160,160x,28,0.2808805,0.2661171,0.059188522,0.5577812194824219,0.5601310729980469,0.02237276865366221,0.6789918627057757,0.6882953643798828,0.035226316758422964
20x_2025-05-15_02-05-00.tif,20,20x,28,0.7833039,0.78868675,0.02602228,0.39578138078962055,0.3906841278076172,0.029375439930055414,0.4400606155395508,0.44225502014160156,0.013313536741448043
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,28,0.0029227394,0.002872467,0.00089124154,0.7519839150565011,0.7355079650878906,0.09341029623402317,0.5392570495605469,0.5351848602294922,0.05260573613961275
320x_2025-05-15_02-05-00.tif,320,320x,28,0.09717859,0.091594696,0.021321783,0.7437680108206612,0.7407550811767578,0.02676192707734633,0.8216789790562221,0.82952880859375,0.028428190284113943
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,28,0.0060338974,0.005712509,0.0018562147,0.9022926603044782,0.937896728515625,0.08563935676095033,0.6017834799630302,0.5952320098876953,0.048520142250885835
640x_2025-05-16_00-59-00_002.tif,640,640x,28,0.04706437,0.041971207,0.01710148,0.861640385219029,0.87493896484375,0.048290234049330714,0.8846194403512138,0.8903141021728516,0.0227716400591439
80x_2_2025-05-22_14-48-00.tif,80,80x,28,0.55119896,0.5490551,0.040157575,0.4948782239641462,0.49568748474121094,0.005578830504217512,0.5513157163347516,0.5531234741210938,0.00715531863108662
