,loss,accuracy,jacard_coef,val_loss,val_accuracy,val_jacard_coef,lr
0,0.14568014442920685,0.8709595799446106,0.44657331705093384,12.010514259338379,0.052748631685972214,0.05717581510543823,0.001
1,0.10810597240924835,0.9749140739440918,0.6706618666648865,0.11774109303951263,0.9481625556945801,0.0025649964809417725,0.001
2,0.09551401436328888,0.9811286926269531,0.7294144630432129,0.10968422144651413,0.9485840201377869,1.2281158078344956e-12,0.001
3,0.08350507915019989,0.9859647750854492,0.7877262830734253,0.09948422014713287,0.9498607516288757,0.030291901901364326,0.001
4,0.0738375261425972,0.9887712001800537,0.8225274085998535,0.0915130004286766,0.9485840201377869,1.2281158078344956e-12,0.001
5,0.06782537698745728,0.9884833097457886,0.8165885806083679,0.0859474390745163,0.9485438466072083,1.223408418841998e-12,0.001
6,0.06146571785211563,0.9909550547599792,0.8522762656211853,0.07861586660146713,0.9485840201377869,1.2281158078344956e-12,0.0005
7,0.05778107792139053,0.9919283986091614,0.8671348690986633,0.0757560133934021,0.9488440752029419,0.005448394920676947,0.0005
8,0.0547783337533474,0.9924448132514954,0.8745533227920532,0.07119770348072052,0.950356662273407,0.04456689953804016,0.0005
9,0.05199180543422699,0.9928944110870361,0.8823157548904419,0.07003913074731827,0.9672847986221313,0.44541898369789124,0.0005
10,0.0496610589325428,0.9929080009460449,0.8816140294075012,0.05493425950407982,0.9815503358840942,0.6691833138465881,0.0005
11,0.047292329370975494,0.9930964708328247,0.8852071762084961,0.04892857000231743,0.9854863286018372,0.7334476113319397,0.0005
12,0.04544096440076828,0.9927700161933899,0.8801794648170471,0.04386724531650543,0.9929054379463196,0.8728246688842773,0.0005
13,0.04273214191198349,0.993688702583313,0.8943287134170532,0.04225532338023186,0.9938222169876099,0.887204647064209,0.0005
14,0.04081389680504799,0.9938315153121948,0.8965598940849304,0.039250005036592484,0.9935992360115051,0.8827874064445496,0.0005
15,0.03858451545238495,0.9943087697029114,0.9047479629516602,0.03858701512217522,0.9937717914581299,0.8893133401870728,0.0005
16,0.036707643419504166,0.9945705533027649,0.9088555574417114,0.0370820015668869,0.9945415258407593,0.9012206792831421,0.0005
17,0.035162556916475296,0.9946100115776062,0.9094657301902771,0.03649118170142174,0.9932487607002258,0.8803852796554565,0.0005
18,0.033739909529685974,0.9945323467254639,0.908017098903656,0.033139970153570175,0.9939931035041809,0.8927358984947205,0.0005
19,0.03257575258612633,0.9942743182182312,0.9038942456245422,0.03270603343844414,0.9948961734771729,0.9066985845565796,0.0005
20,0.030921688303351402,0.9946739077568054,0.9105523824691772,0.0310131274163723,0.9945498108863831,0.9017186164855957,0.0005
21,0.029980922117829323,0.9942847490310669,0.9034785032272339,0.028971629217267036,0.9932695031166077,0.8765900731086731,0.0005
22,0.028699060901999474,0.9944408535957336,0.9064576029777527,0.028643619269132614,0.9943088293075562,0.8969640135765076,0.0005
23,0.02721978724002838,0.9948558807373047,0.9132785201072693,0.02608088031411171,0.9945743680000305,0.9018288254737854,0.0005
24,0.026178991422057152,0.9948374032974243,0.9129317998886108,0.025969162583351135,0.9932950735092163,0.8742064833641052,0.0005
25,0.02516263723373413,0.9951356649398804,0.9178256392478943,0.025024380534887314,0.9953950047492981,0.9156056642532349,0.00025
26,0.024588679894804955,0.9952725768089294,0.9201218485832214,0.024302778765559196,0.9956223368644714,0.9192150831222534,0.00025
27,0.02399536408483982,0.9953699707984924,0.9216909408569336,0.024142539128661156,0.9954757690429688,0.9168543219566345,0.00025
28,0.02347613498568535,0.9954487085342407,0.9229786992073059,0.023308731615543365,0.9955072402954102,0.9174239039421082,0.00025
29,0.02299223653972149,0.995460033416748,0.9230165481567383,0.02306468039751053,0.9954202771186829,0.9159835577011108,0.00025
