Epoch,UNet_Val_Jaccard,UNet_Val_Loss,AttUNet_Val_Jaccard,AttUNet_Val_Loss,AttResUNet_Val_Jaccard,AttResUNet_Val_Loss
1,0.1272802203893661,11.63225555419922,0.110457956790924,0.1743849813938141,0.1426785886287689,0.171294018626213
2,0.127282828092575,13.01102352142334,0.0110182529315352,0.171906977891922,0.1276164948940277,0.3324009776115417
3,0.1272823810577392,12.045873641967772,0.0062744095921516,0.1694052219390869,0.1276859939098358,0.4776419699192047
4,0.1275393068790435,3.320517063140869,0.0041014677844941,0.166061520576477,0.1268743425607681,0.5741022229194641
5,0.1263744086027145,0.5110037922859192,0.0034743787255138,0.1627760529518127,0.1273293048143386,2.809855699539185
6,0.0383511818945407,0.1437957286834716,0.0034322107676416,0.1597541868686676,0.1273264288902282,2.4373912811279297
7,0.1274334639310836,0.3474714159965515,0.0031708504538983,0.1578033864498138,0.1273866444826126,1.3827948570251465
8,0.1249961629509925,0.1844078600406646,0.0006690620211884,0.1549579203128814,0.1273707151412964,1.164437174797058
9,1.4985216843441118e-12,0.1292106211185455,4.535819243756123e-05,0.152127981185913,0.1274290829896927,0.9910194873809814
10,1.4985216843441118e-12,0.1227297410368919,3.037634451175109e-05,0.1507399380207061,0.1272239089012146,0.7335200309753418
11,1.4985216843441118e-12,0.1265891194343567,1.6511168723809533e-05,0.1475943475961685,0.1268897801637649,0.6017341613769531
12,1.4985216843441118e-12,0.1330334544181823,1.6511416106368415e-05,0.1459952592849731,0.1267364621162414,0.3451418280601501
13,1.4985216843441118e-12,0.1269618868827819,1.6511416106368415e-05,0.1457793414592743,0.1264903545379638,0.2422970384359359
14,1.4985216843441118e-12,0.1236205548048019,1.6511416106368415e-05,0.1438791751861572,0.1241177842020988,0.187910258769989
15,0.0038048184942454,0.1446623355150222,1.6511416106368415e-05,0.1412278413772583,0.1202961727976799,0.1669683754444122
16,1.4984991329389241e-12,0.1236413866281509,1.4985216843441118e-12,0.1395509392023086,0.0002246303920401,0.1537219882011413
17,1.4985216843441118e-12,0.1289154589176178,,,,
18,1.4985216843441118e-12,0.1284010410308838,,,,
19,1.4985216843441118e-12,0.120457574725151,,,,
