loss,accuracy,jacard_coef,val_loss,val_accuracy,val_jacard_coef,lr
0.23284763097763062,0.5213496088981628,0.22834935784339905,0.17129401862621307,0.43863487243652344,0.14267858862876892,0.0005
0.12705209851264954,0.8002596497535706,0.34701284766197205,0.33240097761154175,0.09653091430664062,0.1276164948940277,0.0005
0.12016191333532333,0.8320707082748413,0.4054115414619446,0.4776419699192047,0.09369277954101562,0.12768599390983582,0.0005
0.10589057207107544,0.8667736053466797,0.5495806932449341,0.5741022229194641,0.1368560791015625,0.12687434256076813,0.0005
0.10712272673845291,0.8506810069084167,0.4548182487487793,2.8098556995391846,0.0858306884765625,0.12732930481433868,0.0005
0.10341988503932953,0.8368668556213379,0.4012570381164551,2.4373912811279297,0.08474349975585938,0.12732642889022827,0.0005
0.10021325945854187,0.856587827205658,0.46660566329956055,1.3827948570251465,0.09286117553710938,0.1273866444826126,0.0005
0.09593585878610611,0.8574540615081787,0.4376181662082672,1.164437174797058,0.0936279296875,0.1273707151412964,0.0005
0.0954885482788086,0.8573498129844666,0.5149978995323181,0.9910194873809814,0.09414863586425781,0.1274290829896927,0.0005
0.09545522183179855,0.8587578535079956,0.5498554706573486,0.7335200309753418,0.10378837585449219,0.1272239089012146,0.00025
0.0989403948187828,0.8577582836151123,0.4896211624145508,0.6017341613769531,0.11949729919433594,0.12688978016376495,0.00025
0.09345804154872894,0.8524062037467957,0.4236929416656494,0.34514182806015015,0.1567840576171875,0.12673646211624146,0.00025
0.09810876846313477,0.8524608612060547,0.5329688787460327,0.24229703843593597,0.21352577209472656,0.12649035453796387,0.00025
0.09600383788347244,0.8537452220916748,0.511587381362915,0.187910258769989,0.312286376953125,0.12411778420209885,0.00025
0.09289631992578506,0.8527435064315796,0.4202255308628082,0.16696837544441223,0.49070167541503906,0.1202961727976799,0.00025
0.08978508412837982,0.8584742546081543,0.5421075224876404,0.15372198820114136,0.8187408447265625,0.00022463039204012603,0.00025
