loss,accuracy,jacard_coef,val_loss,val_accuracy,val_jacard_coef,lr
0.2255827933549881,0.613747239112854,0.17788033187389374,0.1743849813938141,0.08224105834960938,0.11045795679092407,1e-04
0.1332988739013672,0.7790024876594543,0.3158915340900421,0.171906977891922,0.8070602416992188,0.011018252931535244,1e-04
0.11953149735927582,0.8085784912109375,0.4263954162597656,0.16940522193908691,0.8126487731933594,0.006274409592151642,1e-04
0.10920010507106781,0.825762927532196,0.3812623620033264,0.16606152057647705,0.8151416778564453,0.004101467784494162,1e-04
0.10672835260629654,0.8387406468391418,0.4910573363304138,0.16277605295181274,0.8157596588134766,0.003474378725513816,1e-04
0.10010334849357605,0.8471423983573914,0.4287137985229492,0.1597541868686676,0.8157863616943359,0.0034322107676416636,1e-04
0.0990709513425827,0.8494159579277039,0.5300856828689575,0.15780338644981384,0.81585693359375,0.0031708504538983107,1e-04
0.10349761694669724,0.8487398624420166,0.5217378735542297,0.15495792031288147,0.8180713653564453,0.0006690620211884379,1e-04
0.09787006676197052,0.8461491465568542,0.4213583469390869,0.15212798118591309,0.8187122344970703,4.535819243756123e-05,1e-04
0.09380973130464554,0.8523369431495667,0.4870477318763733,0.15073993802070618,0.8187122344970703,3.0376344511751086e-05,1e-04
0.09780066460371017,0.8481025099754333,0.5274111032485962,0.14759434759616852,0.8187198638916016,1.6511168723809533e-05,1e-04
0.09618474543094635,0.8530088067054749,0.4473339915275574,0.14599525928497314,0.8187217712402344,1.6511416106368415e-05,1e-04
0.0951506644487381,0.8548351526260376,0.4624733030796051,0.1457793414592743,0.8187217712402344,1.6511416106368415e-05,1e-04
0.1057870015501976,0.8461984395980835,0.5252147912979126,0.14387917518615723,0.8187217712402344,1.6511416106368415e-05,1e-04
0.09420263767242432,0.8533684611320496,0.4820830225944519,0.1412278413772583,0.8187217712402344,1.6511416106368415e-05,1e-04
0.10246887803077698,0.8306560516357422,0.48846301436424255,0.13955093920230865,0.8187313079833984,1.4985216843441118e-12,1e-04
