image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold,density_clahe_otsu_pred,density_clahe_otsu_orig
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,24,1536,1536,0.008934021,0.9470176696777344,0.6188621520996094
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,25,1536,2048,0.0061187744,0.9742889404296875,0.5949172973632812
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,26,1536,2560,0.005470276,0.9490203857421875,0.5536155700683594
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,27,1536,3072,0.0061798096,0.9161262512207031,0.5845222473144531
640x_2025-05-16_00-59-00_002.tif,640,640x,0,0,0,0.08602905,0.7718124389648438,0.8482208251953125
640x_2025-05-16_00-59-00_002.tif,640,640x,1,0,512,0.07746887,0.8207359313964844,0.8629798889160156
640x_2025-05-16_00-59-00_002.tif,640,640x,2,0,1024,0.056316376,0.8652725219726562,0.8998985290527344
640x_2025-05-16_00-59-00_002.tif,640,640x,3,0,1536,0.04889679,0.8884925842285156,0.9054794311523438
640x_2025-05-16_00-59-00_002.tif,640,640x,4,0,2048,0.043567657,0.8960914611816406,0.89068603515625
640x_2025-05-16_00-59-00_002.tif,640,640x,5,0,2560,0.03834915,0.8852195739746094,0.8758201599121094
640x_2025-05-16_00-59-00_002.tif,640,640x,6,0,3072,0.030887604,0.867523193359375,0.8126068115234375
