architecture,config,config_name,fold,train_samples,val_samples,best_val_jaccard,best_val_dice,best_epoch,final_val_jaccard,final_train_jaccard,overfitting_gap,epochs_trained,batch_size_used,oom_retries,success,filename_prefix
resunet,"{'learning_rate': 5e-05, 'dropout': 0.2, 'batch_size': 4}",resunet_lr5e-05_drop0.2_bs4,1,65,33,0.10870230942964554,0.18195515871047974,0,0.027029506862163544,0.5560784339904785,13.924667984247208,8,4,0,True,resunet_fold1_lr5e-05_drop0.2_bs4
resunet,"{'learning_rate': 5e-05, 'dropout': 0.2, 'batch_size': 4}",resunet_lr5e-05_drop0.2_bs4,2,65,33,0.10464057326316833,0.1724921017885208,0,0.04038996994495392,0.39413583278656006,13.697990775108337,8,4,0,True,resunet_fold2_lr5e-05_drop0.2_bs4
resunet,"{'learning_rate': 5e-05, 'dropout': 0.2, 'batch_size': 4}",resunet_lr5e-05_drop0.2_bs4,3,66,32,0.12365075200796127,0.2023419737815857,0,0.014420339837670326,0.5117693543434143,10.628149658441544,8,4,0,True,resunet_fold3_lr5e-05_drop0.2_bs4
resunet,"{'learning_rate': 5e-05, 'dropout': 0.3, 'batch_size': 4}",resunet_lr5e-05_drop0.3_bs4,1,65,33,0.12813851237297058,0.20663176476955414,0,0.033658310770988464,0.44582194089889526,8.786708116531372,8,4,0,True,resunet_fold1_lr5e-05_drop0.3_bs4
resunet,"{'learning_rate': 5e-05, 'dropout': 0.3, 'batch_size': 4}",resunet_lr5e-05_drop0.3_bs4,2,65,33,0.10204252600669861,0.16926652193069458,0,0.028306875377893448,0.49562618136405945,12.368552386760712,8,4,0,True,resunet_fold2_lr5e-05_drop0.3_bs4
resunet,"{'learning_rate': 5e-05, 'dropout': 0.3, 'batch_size': 4}",resunet_lr5e-05_drop0.3_bs4,3,66,32,0.10505307465791702,0.17799338698387146,0,0.027910275384783745,0.4908931255340576,11.304310709238052,8,4,0,True,resunet_fold3_lr5e-05_drop0.3_bs4
attention_resunet,"{'learning_rate': 0.0001, 'dropout': 0.2, 'batch_size': 4}",attention_resunet_lr0.0001_drop0.2_bs4,1,65,33,0.09559319913387299,0.1642114520072937,0,0.011172648519277573,0.6358853578567505,16.014720499515533,8,4,0,True,attention_resunet_fold1_lr0.0001_drop0.2_bs4
attention_resunet,"{'learning_rate': 0.0001, 'dropout': 0.2, 'batch_size': 4}",attention_resunet_lr0.0001_drop0.2_bs4,2,65,33,0.06413893401622772,0.1154809296131134,1,0.008398587815463543,0.5636721849441528,32.03490823507309,9,4,0,True,attention_resunet_fold2_lr0.0001_drop0.2_bs4
attention_resunet,"{'learning_rate': 0.0001, 'dropout': 0.2, 'batch_size': 4}",attention_resunet_lr0.0001_drop0.2_bs4,3,66,32,0.1003401130437851,0.17146319150924683,0,0.01723296195268631,0.5396170616149902,15.258647501468658,8,4,0,True,attention_resunet_fold3_lr0.0001_drop0.2_bs4
attention_resunet,"{'learning_rate': 0.0001, 'dropout': 0.3, 'batch_size': 4}",attention_resunet_lr0.0001_drop0.3_bs4,1,65,33,0.09818147122859955,0.16788095235824585,0,0.01609059050679207,0.4567593038082123,15.37453979253769,8,4,0,True,attention_resunet_fold1_lr0.0001_drop0.3_bs4
attention_resunet,"{'learning_rate': 0.0001, 'dropout': 0.3, 'batch_size': 4}",attention_resunet_lr0.0001_drop0.3_bs4,2,65,33,0.09988409280776978,0.1664533168077469,0,0.00986151397228241,0.5239725112915039,17.193958163261414,8,4,0,True,attention_resunet_fold2_lr0.0001_drop0.3_bs4
attention_resunet,"{'learning_rate': 0.0001, 'dropout': 0.3, 'batch_size': 4}",attention_resunet_lr0.0001_drop0.3_bs4,3,66,32,0.11863115429878235,0.19585400819778442,0,0.02721562422811985,0.4351861774921417,7.207547128200531,8,4,0,True,attention_resunet_fold3_lr0.0001_drop0.3_bs4
attention_resunet,"{'learning_rate': 5e-05, 'dropout': 0.2, 'batch_size': 4}",attention_resunet_lr5e-05_drop0.2_bs4,1,65,33,0.1139909029006958,0.1889278143644333,0,0.013180453330278397,0.5244866013526917,12.136122584342957,8,4,0,True,attention_resunet_fold1_lr5e-05_drop0.2_bs4
attention_resunet,"{'learning_rate': 5e-05, 'dropout': 0.2, 'batch_size': 4}",attention_resunet_lr5e-05_drop0.2_bs4,2,65,33,0.10142870992422104,0.16849690675735474,0,0.02237596921622753,0.5597162842750549,16.676513105630875,8,4,0,True,attention_resunet_fold2_lr5e-05_drop0.2_bs4
attention_resunet,"{'learning_rate': 5e-05, 'dropout': 0.2, 'batch_size': 4}",attention_resunet_lr5e-05_drop0.2_bs4,3,66,32,0.11189581453800201,0.18711510300636292,0,0.010296974331140518,0.5231714248657227,8.785367012023926,8,4,0,True,attention_resunet_fold3_lr5e-05_drop0.2_bs4
attention_resunet,"{'learning_rate': 5e-05, 'dropout': 0.3, 'batch_size': 4}",attention_resunet_lr5e-05_drop0.3_bs4,1,65,33,0.10796303302049637,0.18103358149528503,0,0.020901905372738838,0.5191508531570435,11.651698499917984,8,4,0,True,attention_resunet_fold1_lr5e-05_drop0.3_bs4
attention_resunet,"{'learning_rate': 5e-05, 'dropout': 0.3, 'batch_size': 4}",attention_resunet_lr5e-05_drop0.3_bs4,2,65,33,0.09325570613145828,0.15779811143875122,0,0.025149481371045113,0.5211547613143921,10.558145493268967,8,4,0,True,attention_resunet_fold2_lr5e-05_drop0.3_bs4
attention_resunet,"{'learning_rate': 5e-05, 'dropout': 0.3, 'batch_size': 4}",attention_resunet_lr5e-05_drop0.3_bs4,3,66,32,0.11642009764909744,0.19303908944129944,0,0.01727469637989998,0.49978750944137573,11.521916836500168,8,4,0,True,attention_resunet_fold3_lr5e-05_drop0.3_bs4
