epoch,dice_coef,jacard_coef,loss,val_dice_coef,val_jacard_coef,val_loss
0,0.4114886224269867,0.27871057391166687,0.4480278491973877,0.01879597082734108,0.009506579488515854,0.7319431900978088
1,0.5765513181686401,0.4232850670814514,0.3173587918281555,0.052415795624256134,0.027209511026740074,0.6933727860450745
2,0.6044194102287292,0.4714469909667969,0.2983396053314209,0.0665731430053711,0.03500526398420334,0.6802812814712524
3,0.6802163124084473,0.53128582239151,0.24473024904727936,0.05621287599205971,0.02927979826927185,0.6895272135734558
4,0.5342803001403809,0.4037286341190338,0.3705788850784302,0.02944878675043583,0.015007585287094116,0.7165770530700684
5,0.6939796209335327,0.5549452304840088,0.23577724397182465,0.016488492488861084,0.008326883427798748,0.7329770922660828
6,0.6656331419944763,0.5297015905380249,0.2567412555217743,0.014750474132597446,0.0074405488558113575,0.7355632781982422
7,0.7273091077804565,0.5963066220283508,0.1981891244649887,0.007262982428073883,0.0036464673466980457,0.7492431998252869
8,0.7492544651031494,0.6320107579231262,0.176312655210495,0.014665007591247559,0.007396995089948177,0.7356429696083069
9,0.7662093639373779,0.6462278962135315,0.17602670192718506,0.012144416570663452,0.0061157941818237305,0.7396039962768555
