epoch,dice_coef,jacard_coef,loss,val_dice_coef,val_jacard_coef,val_loss
0,0.3196374773979187,0.2062288075685501,0.5089185833930969,0.22223244607448578,0.14002957940101624,0.5552562475204468
1,0.4170737862586975,0.283162385225296,0.439706951379776,0.20212958753108978,0.12351131439208984,0.5688005089759827
2,0.4257735013961792,0.29785117506980896,0.4246867001056671,0.30199575424194336,0.21891456842422485,0.865826427936554
3,0.5165151357650757,0.3685009479522705,0.3660324513912201,0.15808624029159546,0.09092618525028229,0.6047554016113281
4,0.5485239028930664,0.4054489731788635,0.34102824330329895,0.1350339949131012,0.07548180222511292,0.6256154179573059
5,0.5261439681053162,0.3910107910633087,0.34344398975372314,0.12013467401266098,0.06602123379707336,0.6396682858467102
6,0.5415491461753845,0.409281849861145,0.34774234890937805,0.10312309116125107,0.055654797703027725,0.6563047170639038
7,0.5453169941902161,0.4169192612171173,0.34153881669044495,0.09251834452152252,0.04940864071249962,0.6670289039611816
8,0.5997216701507568,0.460946649312973,0.28439655900001526,0.08554831147193909,0.045385777950286865,0.6742501854896545
9,0.5496537685394287,0.4220065474510193,0.32109376788139343,0.0788373351097107,0.0415731705725193,0.681329071521759
