,loss,accuracy,jacard_coef,val_loss,val_accuracy,val_jacard_coef,lr
0,0.11769741773605347,0.9313578009605408,0.5199951529502869,0.12813816964626312,0.9312627911567688,0.2733548879623413,0.001
1,0.0723486989736557,0.9808571338653564,0.7143226265907288,0.073733851313591,0.9451608657836914,0.18725734949111938,0.001
2,0.04876246675848961,0.9878793954849243,0.796703040599823,0.04178040102124214,0.9855279922485352,0.7651417255401611,0.001
3,0.03514902666211128,0.9904027581214905,0.8342631459236145,0.030897634103894234,0.9913356304168701,0.8569958209991455,0.001
4,0.026336610317230225,0.9921227097511292,0.8627101182937622,0.023297077044844627,0.9914854168891907,0.8599820733070374,0.001
5,0.02011583000421524,0.9935191869735718,0.8868855237960815,0.024436410516500473,0.9865893125534058,0.7943858504295349,0.001
6,0.016649341210722923,0.9934170842170715,0.88509202003479,0.014735698699951172,0.9935685992240906,0.8920944929122925,0.001
7,0.013388103805482388,0.99440997838974,0.902601957321167,0.012916539795696735,0.9939889907836914,0.8999093770980835,0.001
8,0.011295061558485031,0.9946549534797668,0.9071658253669739,0.012679014354944229,0.9922710657119751,0.8754684329032898,0.001
9,0.00981737207621336,0.9946641325950623,0.9072432518005371,0.009665842168033123,0.994253396987915,0.9043971300125122,0.001
10,0.010586955584585667,0.9922323226928711,0.8650590181350708,0.030549418181180954,0.9855949878692627,0.7920520305633545,0.001
11,0.008596922270953655,0.9939253926277161,0.8940721750259399,0.008136797696352005,0.993287980556488,0.886997401714325,0.001
12,0.007169588003307581,0.9947838187217712,0.9093016386032104,0.0073280069045722485,0.9935119152069092,0.8902797698974609,0.001
13,0.009419664740562439,0.9911516904830933,0.8487434983253479,0.20249131321907043,0.9330365061759949,0.46220600605010986,0.001
14,0.00698672141879797,0.9936448931694031,0.8885215520858765,0.007033128757029772,0.9931245446205139,0.8844959139823914,0.001
15,0.005548516288399696,0.994999885559082,0.912865936756134,0.0058538480661809444,0.9941585063934326,0.9032222628593445,0.001
16,0.00498523423448205,0.9952707290649414,0.9177666306495667,0.005279039032757282,0.9944988489151001,0.9087235927581787,0.001
17,0.00471360981464386,0.9953289031982422,0.9190667271614075,0.005125148221850395,0.9946051836013794,0.9106696844100952,0.001
18,0.004321549087762833,0.9954997301101685,0.9218977093696594,0.005012371111661196,0.99434894323349,0.9057530760765076,0.001
19,0.0039822435937821865,0.9956821203231812,0.9248791337013245,0.0046868049539625645,0.9945489764213562,0.908922553062439,0.001
20,0.0036928344052284956,0.9958575963973999,0.9278624653816223,0.004523355048149824,0.9946633577346802,0.9116812348365784,0.001
21,0.003454063320532441,0.9960135817527771,0.9304718375205994,0.004649365320801735,0.9944005608558655,0.9075638651847839,0.001
22,0.003465421264991164,0.9958431720733643,0.927471399307251,0.0049013360403478146,0.99370276927948,0.8945292830467224,0.001
23,0.0033971858210861683,0.9958092570304871,0.9267087578773499,0.004477664828300476,0.9946604371070862,0.9112354516983032,0.001
24,0.0034649092704057693,0.9956408739089966,0.9236295819282532,0.011221766471862793,0.9858390688896179,0.7891466617584229,0.001
25,0.0031385913025587797,0.9959391951560974,0.9289872646331787,0.00399057799950242,0.9948972463607788,0.9155638813972473,0.001
26,0.002723180688917637,0.996417760848999,0.9373682737350464,0.004294289276003838,0.9949516654014587,0.9167819023132324,0.001
27,0.0028820806182920933,0.996182382106781,0.9326835870742798,0.005120139103382826,0.9936572909355164,0.8930847644805908,0.001
28,0.002710800152271986,0.9963022470474243,0.9350889325141907,0.003890644060447812,0.995020866394043,0.9169989228248596,0.001
29,0.0023850430734455585,0.996722936630249,0.9425278902053833,0.00421105045825243,0.9947299957275391,0.9122779965400696,0.001
30,0.002212368883192539,0.9969121217727661,0.9456802606582642,0.004418885800987482,0.994938313961029,0.9166120290756226,0.001
31,0.002258448163047433,0.9967787861824036,0.9429659843444824,0.003964144270867109,0.9952134490013123,0.9207003116607666,0.001
32,0.0022764112800359726,0.9967065453529358,0.9418395161628723,0.004170950502157211,0.9950364232063293,0.9177287817001343,0.001
33,0.0020780388731509447,0.9969536066055298,0.9464163780212402,0.004326894413679838,0.995046854019165,0.9178488254547119,0.001
34,0.001957527594640851,0.9971556663513184,0.9499590396881104,0.0037749088369309902,0.9955900311470032,0.9262404441833496,0.0005
35,0.0017214149702340364,0.997495174407959,0.9556987285614014,0.004071960691362619,0.9956369400024414,0.9271379709243774,0.0005
36,0.0015487736091017723,0.9977473020553589,0.9600232243537903,0.004352670628577471,0.9957007765769958,0.9283608794212341,0.0005
