image,dilution_factor,method,foreground_pct
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2572961384430527
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2852483186870813
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.25419348385185
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.5956935696303844
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,25.71895718574524
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,89.87587094306946
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,97.87089228630066
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,98.2506513595581
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,98.52955341339111
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,99.3076741695404
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,96.6885268688202
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,97.26150631904602
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,92.99954175949097
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,41.38071537017822
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2484841039404273
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2589909359812736
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2627097303047776
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2811897080391645
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.3773907897993922
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.311608868651092
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,31.295371055603027
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,91.96987748146056
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,98.00173044204712
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,96.23502492904665
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,98.97014498710632
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,98.72949719429016
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,99.08438324928284
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,98.7262487411499
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,95.74339389801024
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,21.68091982603073
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2692023757845163
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2622181549668312
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2846469637006521
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.4497936926782131
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.4869166295975446
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2582014771178365
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,41.084301471710205
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,92.85544157028198
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,97.86087274551392
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,99.1372048854828
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,98.43587875366212
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,99.5347797870636
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,98.20984601974487
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,96.48605585098268
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,61.17239594459534
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2708562649786472
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2681552898138761
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.2619122387841344
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.280371680855751
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.338682159781456
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,0.3819094505161047
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,16.746225953102112
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,94.78434920310974
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,98.25159907341003
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,97.37806916236876
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,98.27439188957214
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,99.5229721069336
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,98.66743683815002
10240x_2560x_2025-05-16_00-59-00_002,10240,unet,97.43034839630128
