image,dilution_factor,method,foreground_pct
10240x_2560x_2025-05-16_00-59-00_002,40,unet,0.25729613844305277
10240x_2560x_2025-05-16_00-59-00_002,40,unet,0.28524831868708134
10240x_2560x_2025-05-16_00-59-00_002,40,unet,0.25419348385185003
10240x_2560x_2025-05-16_00-59-00_002,40,unet,0.5956935696303844
10240x_2560x_2025-05-16_00-59-00_002,40,unet,25.71895718574524
10240x_2560x_2025-05-16_00-59-00_002,40,unet,89.87587094306946
10240x_2560x_2025-05-16_00-59-00_002,40,unet,97.87089228630066
10240x_2560x_2025-05-16_00-59-00_002,40,unet,98.2506513595581
10240x_2560x_2025-05-16_00-59-00_002,40,unet,98.52955341339111
10240x_2560x_2025-05-16_00-59-00_002,40,unet,99.3076741695404
10240x_2560x_2025-05-16_00-59-00_002,40,unet,96.68852686882019
10240x_2560x_2025-05-16_00-59-00_002,40,unet,97.26150631904602
10240x_2560x_2025-05-16_00-59-00_002,40,unet,92.99954175949097
10240x_2560x_2025-05-16_00-59-00_002,40,unet,41.38071537017822
10240x_2560x_2025-05-16_00-59-00_002,40,unet,0.2484841039404273
10240x_2560x_2025-05-16_00-59-00_002,40,unet,0.25899093598127365
10240x_2560x_2025-05-16_00-59-00_002,40,unet,0.2627097303047776
10240x_2560x_2025-05-16_00-59-00_002,40,unet,0.28118970803916454
10240x_2560x_2025-05-16_00-59-00_002,40,unet,0.3773907897993922
10240x_2560x_2025-05-16_00-59-00_002,40,unet,0.31160886865109205
10240x_2560x_2025-05-16_00-59-00_002,40,unet,31.295371055603027
10240x_2560x_2025-05-16_00-59-00_002,40,unet,91.96987748146057
10240x_2560x_2025-05-16_00-59-00_002,40,unet,98.00173044204712
10240x_2560x_2025-05-16_00-59-00_002,40,unet,96.23502492904663
10240x_2560x_2025-05-16_00-59-00_002,40,unet,98.97014498710632
10240x_2560x_2025-05-16_00-59-00_002,40,unet,98.72949719429016
10240x_2560x_2025-05-16_00-59-00_002,40,unet,99.08438324928284
10240x_2560x_2025-05-16_00-59-00_002,40,unet,98.7262487411499
10240x_2560x_2025-05-16_00-59-00_002,40,unet,95.74339389801025
