image,architecture,mean_density,std_density,median_density,min_density,max_density,num_tiles,dilution_factor
10240x_2560x_2025-05-16_00-59-00_002,unet,0.0014262199401855,0.000827767854184,0.0019588470458984,2.6702880859375e-05,0.0022354125976562,40,10240.0
10240x_2560x_2025-05-16_00-59-00_002,resunet,0.9999996185302734,1.1444091796875002e-06,1.0,0.9999961853027344,1.0,40,10240.0
10240x_2560x_2025-05-16_00-59-00_002,attention_resunet,0.0024489402770996,0.0023594480008651,0.0019645690917968,0.0004615783691406,0.0106925964355468,40,10240.0
10240x_2560x_2025-05-16_00-59-00_002,clahe_otsu,0.1485693931579589,0.1393741733783911,0.0472965240478515,0.0249099731445312,0.4405708312988281,40,10240.0
10x_2025-05-15_02-05-00,unet,0.0007937431335449,0.0005347787807408,0.0006694793701171,5.340576171875e-05,0.0018234252929687,40,10.0
10x_2025-05-15_02-05-00,resunet,0.999993133544922,8.278859868702202e-06,0.9999961853027344,0.9999732971191406,1.0,40,10.0
10x_2025-05-15_02-05-00,attention_resunet,0.0141656875610351,0.003553253100529,0.0150928497314453,0.0071220397949218,0.0196914672851562,40,10.0
10x_2025-05-15_02-05-00,clahe_otsu,0.6479764938354492,0.0270628314368321,0.6506481170654297,0.5936660766601562,0.7075691223144531,40,10.0
1280x_2025-05-16_00-59-00_002,unet,0.0014480590820312,0.0008069188468591,0.001922607421875,4.1961669921875e-05,0.0024032592773437,40,1280.0
1280x_2025-05-16_00-59-00_002,resunet,0.9999996185302734,1.1444091796875002e-06,1.0,0.9999961853027344,1.0,40,1280.0
1280x_2025-05-16_00-59-00_002,attention_resunet,0.0025753021240234,0.0025419720899616,0.001962661743164,0.0003738403320312,0.01300048828125,40,1280.0
1280x_2025-05-16_00-59-00_002,clahe_otsu,0.1199323654174804,0.1192828971173278,0.0552482604980468,0.0277671813964843,0.49810791015625,40,1280.0
160x_2025-05-15_02-05-00,unet,0.0022208213806152,0.0008078205296968,0.0023555755615234,0.000579833984375,0.0037040710449218,40,160.0
