model,experiment_name,best_epoch,best_val_iou,best_val_dice,final_val_iou,final_val_dice,n_filters,dropout,batch_norm,learning_rate
unet,unet_n_filters16_dropout0p1_batch_normTrue_learning_rate0p001,68,0.4508172869682312,0.6129446625709534,0.429581880569458,0.5933433771133423,16,0.1,True,0.001
unet,unet_n_filters16_dropout0p1_batch_normTrue_learning_rate0p003,96,0.4680110514163971,0.6313002109527588,0.39255303144454956,0.5535364747047424,16,0.1,True,0.003
unet,unet_n_filters16_dropout0p1_batch_normTrue_learning_rate0p005,17,0.3287781774997711,0.42670971155166626,0.3037913143634796,0.45591872930526733,16,0.1,True,0.005
unet,unet_n_filters16_dropout0p2_batch_normTrue_learning_rate0p001,84,0.45718687772750854,0.6196502447128296,0.40776124596595764,0.572007954120636,16,0.2,True,0.001
unet,unet_n_filters16_dropout0p2_batch_normTrue_learning_rate0p003,7,0.3055450916290283,0.4054222106933594,0.21771785616874695,0.3531429171562195,16,0.2,True,0.003
unet,unet_n_filters16_dropout0p2_batch_normTrue_learning_rate0p005,9,0.3063254952430725,0.40796011686325073,0.24083194136619568,0.3797230124473572,16,0.2,True,0.005
unet,unet_n_filters16_dropout0p3_batch_normTrue_learning_rate0p001,65,0.44080647826194763,0.6022195219993591,0.4404020309448242,0.6012434959411621,16,0.3,True,0.001
unet,unet_n_filters16_dropout0p3_batch_normTrue_learning_rate0p003,89,0.4231754243373871,0.5886567234992981,0.3985883295536041,0.5653408169746399,16,0.3,True,0.003
unet,unet_n_filters16_dropout0p3_batch_normTrue_learning_rate0p005,3,0.30305203795433044,0.40314850211143494,0.16294899582862854,0.27594518661499023,16,0.3,True,0.005
unet,unet_n_filters32_dropout0p1_batch_normTrue_learning_rate0p001,55,0.45031601190567017,0.6135738492012024,0.40396079421043396,0.5664514303207397,32,0.1,True,0.001
unet,unet_n_filters32_dropout0p1_batch_normTrue_learning_rate0p003,25,0.3231746554374695,0.4781586527824402,0.19080603122711182,0.3137054443359375,32,0.1,True,0.003
unet,unet_n_filters32_dropout0p1_batch_normTrue_learning_rate0p005,13,0.31398260593414307,0.44086509943008423,0.22064271569252014,0.35710659623146057,32,0.1,True,0.005
unet,unet_n_filters32_dropout0p2_batch_normTrue_learning_rate0p001,71,0.4853319227695465,0.6430513262748718,0.4547205865383148,0.6175334453582764,32,0.2,True,0.001
unet,unet_n_filters32_dropout0p2_batch_normTrue_learning_rate0p003,52,0.3675033748149872,0.5308436155319214,0.36707794666290283,0.531558632850647,32,0.2,True,0.003
unet,unet_n_filters32_dropout0p2_batch_normTrue_learning_rate0p005,22,0.33205240964889526,0.47926196455955505,0.29101401567459106,0.442595899105072,32,0.2,True,0.005
unet,unet_n_filters32_dropout0p3_batch_normTrue_learning_rate0p001,75,0.5079596638679504,0.6648682951927185,0.45672139525413513,0.616891086101532,32,0.3,True,0.001
unet,unet_n_filters32_dropout0p3_batch_normTrue_learning_rate0p003,92,0.44347086548805237,0.6068668365478516,0.3847620487213135,0.550556480884552,32,0.3,True,0.003
unet,unet_n_filters32_dropout0p3_batch_normTrue_learning_rate0p005,28,0.3540336489677429,0.5105368494987488,0.28820616006851196,0.4395177364349365,32,0.3,True,0.005
unet,unet_n_filters64_dropout0p1_batch_normTrue_learning_rate0p001,93,0.46272286772727966,0.6230241060256958,0.4520530700683594,0.6149152517318726,64,0.1,True,0.001
unet,unet_n_filters64_dropout0p1_batch_normTrue_learning_rate0p003,45,0.3791883885860443,0.5421870946884155,0.2658800482749939,0.41593194007873535,64,0.1,True,0.003
unet,unet_n_filters64_dropout0p1_batch_normTrue_learning_rate0p005,69,0.4321165978908539,0.5893806219100952,0.41483864188194275,0.5801556706428528,64,0.1,True,0.005
unet,unet_n_filters64_dropout0p2_batch_normTrue_learning_rate0p001,53,0.431755393743515,0.5943225622177124,0.39250877499580383,0.5566641092300415,64,0.2,True,0.001
unet,unet_n_filters64_dropout0p2_batch_normTrue_learning_rate0p003,90,0.40687283873558044,0.5710523724555969,0.3647727370262146,0.5276911854743958,64,0.2,True,0.003
unet,unet_n_filters64_dropout0p2_batch_normTrue_learning_rate0p005,44,0.35364872217178345,0.5008595585823059,0.2987006604671478,0.452167809009552,64,0.2,True,0.005
unet,unet_n_filters64_dropout0p3_batch_normTrue_learning_rate0p001,3,0.2123764008283615,0.3412473797798157,0.14744402468204498,0.25468960404396057,64,0.3,True,0.001
unet,unet_n_filters64_dropout0p3_batch_normTrue_learning_rate0p003,4,0.2123951017856598,0.3412691652774811,0.17223341763019562,0.29162782430648804,64,0.3,True,0.003
unet,unet_n_filters64_dropout0p3_batch_normTrue_learning_rate0p005,25,0.32355815172195435,0.47793063521385193,0.24231800436973572,0.38753899931907654,64,0.3,True,0.005
