epoch,dice_coef,jacard_coef,loss,lr,val_dice_coef,val_jacard_coef,val_loss
0,0.26515063643455505,0.15941745042800903,0.06514092534780502,0.001,0.278026282787323,0.16430923342704773,0.03848840296268463
1,0.2592613101005554,0.15750625729560852,0.034312136471271515,0.001,0.30921652913093567,0.1868823915719986,0.08066114783287048
2,0.29724910855293274,0.17993062734603882,0.026539398357272148,0.001,0.2767011523246765,0.1633358895778656,0.2022443562746048
3,0.29966872930526733,0.18388184905052185,0.023919839411973953,0.001,0.2819325923919678,0.16715070605278015,0.1263769567012787
4,0.286482036113739,0.17982162535190582,0.022460712119936943,0.001,0.2999396026134491,0.1803363859653473,0.21883857250213623
5,0.31213879585266113,0.19219467043876648,0.02094055525958538,0.001,0.22313013672828674,0.12657208740711212,0.11568546295166016
6,0.3154493570327759,0.19589689373970032,0.019572032615542412,0.001,0.31653881072998047,0.1930699348449707,0.25919026136398315
7,0.3331030309200287,0.20948684215545654,0.017950190231204033,0.001,0.24442675709724426,0.14005930721759796,0.16940930485725403
8,0.36982569098472595,0.237774059176445,0.01606605388224125,0.001,0.19799938797950745,0.110321544110775,0.05245708301663399
9,0.3721124827861786,0.24006938934326172,0.01489789504557848,0.001,0.21607355773448944,0.12269546836614609,0.12164388597011566
10,0.3820807933807373,0.24522347748279572,0.014963386580348015,0.001,0.16444221138954163,0.089807890355587,0.07111193239688873
11,0.3771967887878418,0.24660280346870422,0.014557077549397945,0.001,0.24563011527061462,0.14299917221069336,0.039301272481679916
12,0.3757191300392151,0.24312956631183624,0.014186134561896324,0.001,0.1762983500957489,0.09704160690307617,0.07293061912059784
13,0.37259429693222046,0.24197015166282654,0.013110682368278503,0.001,0.18019703030586243,0.09937380254268646,0.06300443410873413
14,0.3951791822910309,0.26266172528266907,0.012414814904332161,0.001,0.3087320029735565,0.19198547303676605,0.036599088460206985
15,0.362634539604187,0.23731835186481476,0.014863738790154457,0.001,0.19136230647563934,0.1062474474310875,0.06103404611349106
16,0.3515147566795349,0.23327688872814178,0.014006700366735458,0.001,0.274641215801239,0.16029709577560425,0.04088740795850754
17,0.3832060694694519,0.2556743025779724,0.012562885880470276,0.0005,0.21995988488197327,0.12363433837890625,0.06208162382245064
18,0.44096240401268005,0.2971653640270233,0.010407393798232079,0.0005,0.29672038555145264,0.175140380859375,0.0383983813226223
19,0.43026867508888245,0.2885761857032776,0.010997561737895012,0.0005,0.3413746654987335,0.20716512203216553,0.03239835053682327
20,0.4426542818546295,0.3082846999168396,0.009822982363402843,0.0005,0.3643134534358978,0.2246607095003128,0.026439856737852097
21,0.43210092186927795,0.2948285937309265,0.009618561714887619,0.0005,0.34491726756095886,0.2105039805173874,0.029713381081819534
22,0.4653449058532715,0.3250860273838043,0.008503698743879795,0.0005,0.42096105217933655,0.271146684885025,0.018387790769338608
23,0.4638397693634033,0.32228371500968933,0.008028171956539154,0.0005,0.4324258267879486,0.27952030301094055,0.018656417727470398
24,0.3983871340751648,0.27297350764274597,0.012316245585680008,0.0005,0.33057135343551636,0.20011956989765167,0.02524316869676113
25,0.4242558479309082,0.2877655625343323,0.011438521556556225,0.0005,0.45554494857788086,0.3052930235862732,0.014509868808090687
26,0.3953343629837036,0.276012122631073,0.010290293022990227,0.0005,0.4775405526161194,0.3177146017551422,0.013392088934779167
27,0.48285722732543945,0.3350141942501068,0.008465833030641079,0.0005,0.46500954031944275,0.3075084686279297,0.017597075551748276
28,0.4466862082481384,0.30876004695892334,0.008972289972007275,0.0005,0.4344361424446106,0.2816465198993683,0.023489773273468018
29,0.41470614075660706,0.282990425825119,0.011454406194388866,0.0005,0.41163286566734314,0.2701926827430725,0.03584121912717819
30,0.4658491015434265,0.3228553831577301,0.009015660732984543,0.0005,0.476558119058609,0.3186068534851074,0.014833125285804272
31,0.41461533308029175,0.2928200662136078,0.009943035431206226,0.0005,0.42775362730026245,0.2738437354564667,0.026222065091133118
32,0.3887787461280823,0.2565062344074249,0.015186794102191925,0.0005,0.4783004820346832,0.3224770128726959,0.014631378464400768
33,0.4527440071105957,0.3072311580181122,0.01026905607432127,0.0005,0.3945895731449127,0.24810469150543213,0.02420147694647312
34,0.42882412672042847,0.3012542724609375,0.008923153392970562,0.0005,0.5573726892471313,0.3923587203025818,0.012839129194617271
35,0.43852171301841736,0.30779895186424255,0.008707392029464245,0.0005,0.46031951904296875,0.3035448491573334,0.016362952068448067
36,0.46564817428588867,0.32567182183265686,0.007947458885610104,0.0005,0.525316596031189,0.36301881074905396,0.010068835690617561
37,0.4312722682952881,0.3031453490257263,0.009236691519618034,0.0005,0.3734413981437683,0.23107683658599854,0.031572628766298294
38,0.4586903154850006,0.32217738032341003,0.008775738999247551,0.0005,0.4940792918205261,0.3335486054420471,0.01062209066003561
39,0.46362343430519104,0.33006250858306885,0.007907276973128319,0.0005,0.550693154335022,0.3880615830421448,0.007951568812131882
40,0.48450756072998047,0.3433276414871216,0.007533823139965534,0.0005,0.5274762511253357,0.3651374876499176,0.008449532091617584
