image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
10x_2025-05-15_02-05-00.tif,10,10x,5,0,2560,0.96199036,0.820755,0.38664627,0.013084412,0.5996894836425781,0.6490859985351562
10x_2025-05-15_02-05-00.tif,10,10x,6,0,3072,0.9586525,0.77788544,0.3056717,0.0033836365,0.58343505859375,0.6452827453613281
10x_2025-05-15_02-05-00.tif,10,10x,7,512,0,0.9586601,0.8359413,0.45912933,0.044410706,0.60064697265625,0.6093940734863281
10x_2025-05-15_02-05-00.tif,10,10x,8,512,512,0.9631195,0.8726616,0.5698738,0.08015823,0.6352577209472656,0.6229820251464844
10x_2025-05-15_02-05-00.tif,10,10x,9,512,1024,0.957386,0.8733635,0.57089615,0.061252594,0.6464385986328125,0.6527976989746094
10x_2025-05-15_02-05-00.tif,10,10x,10,512,1536,0.96762466,0.87007904,0.5143318,0.031101227,0.6424446105957031,0.6727638244628906
10x_2025-05-15_02-05-00.tif,10,10x,11,512,2048,0.9704094,0.8487854,0.4142723,0.009544373,0.6267166137695312,0.6698646545410156
10x_2025-05-15_02-05-00.tif,10,10x,12,512,2560,0.9627838,0.8159294,0.3743782,0.006248474,0.6043586730957031,0.6725540161132812
10x_2025-05-15_02-05-00.tif,10,10x,13,512,3072,0.9545479,0.7790909,0.3170967,0.0033683777,0.5826187133789062,0.6581535339355469
10x_2025-05-15_02-05-00.tif,10,10x,14,1024,0,0.9565506,0.8313103,0.4266739,0.034103394,0.5934257507324219,0.6080780029296875
10x_2025-05-15_02-05-00.tif,10,10x,15,1024,512,0.9687462,0.85061646,0.40901184,0.015094757,0.6275711059570312,0.6693916320800781
10x_2025-05-15_02-05-00.tif,10,10x,16,1024,1024,0.9607544,0.87036514,0.5629616,0.047538757,0.6531829833984375,0.6446266174316406
10x_2025-05-15_02-05-00.tif,10,10x,17,1024,1536,0.96827316,0.8659096,0.48005676,0.013225555,0.6349868774414062,0.6653099060058594
