image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
10x_2025-05-15_02-05-00.tif,10,10x,5,0,2560,0.96199036,0.8207512,0.38664627,0.013084412,0.4003486633300781,0.6490859985351562
10x_2025-05-15_02-05-00.tif,10,10x,6,0,3072,0.9586487,0.77788544,0.30566025,0.0033836365,0.41656494140625,0.6452827453613281
10x_2025-05-15_02-05-00.tif,10,10x,7,512,0,0.9586563,0.8359413,0.4591446,0.04441452,0.3993492126464844,0.6093940734863281
10x_2025-05-15_02-05-00.tif,10,10x,8,512,512,0.9631195,0.8726616,0.56988144,0.08015823,0.36467742919921875,0.6229820251464844
10x_2025-05-15_02-05-00.tif,10,10x,9,512,1024,0.957386,0.8733597,0.57089996,0.061244965,0.3535652160644531,0.6527976989746094
10x_2025-05-15_02-05-00.tif,10,10x,10,512,1536,0.96762466,0.87007904,0.5143204,0.031097412,0.3574943542480469,0.6727638244628906
10x_2025-05-15_02-05-00.tif,10,10x,11,512,2048,0.9704094,0.8487892,0.4142723,0.009536743,0.37328338623046875,0.6698646545410156
10x_2025-05-15_02-05-00.tif,10,10x,12,512,2560,0.9627838,0.8159294,0.37438583,0.006248474,0.39562225341796875,0.6725540161132812
10x_2025-05-15_02-05-00.tif,10,10x,13,512,3072,0.9545479,0.7790909,0.31710052,0.0033721924,0.41745758056640625,0.6581535339355469
10x_2025-05-15_02-05-00.tif,10,10x,14,1024,0,0.9565506,0.8313103,0.4266739,0.034103394,0.4065742492675781,0.6080780029296875
10x_2025-05-15_02-05-00.tif,10,10x,15,1024,512,0.9687462,0.8506279,0.4090004,0.015090942,0.3724403381347656,0.6693916320800781
10x_2025-05-15_02-05-00.tif,10,10x,16,1024,1024,0.9607544,0.87036514,0.56295395,0.047538757,0.3467445373535156,0.6446266174316406
10x_2025-05-15_02-05-00.tif,10,10x,17,1024,1536,0.96827316,0.8659096,0.48005676,0.013225555,0.3650016784667969,0.6653099060058594
10x_2025-05-15_02-05-00.tif,10,10x,18,1024,2048,0.96427155,0.8473129,0.4458809,0.009922028,0.37166595458984375,0.678619384765625
10x_2025-05-15_02-05-00.tif,10,10x,19,1024,2560,0.9523468,0.8097191,0.3814087,0.009197235,0.3997611999511719,0.6798324584960938
10x_2025-05-15_02-05-00.tif,10,10x,20,1024,3072,0.9502449,0.79624176,0.36618423,0.006061554,0.4062652587890625,0.6559028625488281
10x_2025-05-15_02-05-00.tif,10,10x,21,1536,0,0.94922256,0.79068756,0.3468399,0.015785217,0.4244346618652344,0.5987472534179688
10x_2025-05-15_02-05-00.tif,10,10x,22,1536,512,0.9505615,0.8385849,0.47509384,0.041591644,0.38513946533203125,0.6240081787109375
10x_2025-05-15_02-05-00.tif,10,10x,23,1536,1024,0.94895935,0.85490036,0.5654335,0.07274628,0.3634300231933594,0.6168632507324219
10x_2025-05-15_02-05-00.tif,10,10x,24,1536,1536,0.9577751,0.8469238,0.4911003,0.030090332,0.3795280456542969,0.6518783569335938
10x_2025-05-15_02-05-00.tif,10,10x,25,1536,2048,0.9566345,0.83501816,0.43492126,0.011070251,0.387786865234375,0.6620559692382812
10x_2025-05-15_02-05-00.tif,10,10x,26,1536,2560,0.9433136,0.80426025,0.3952179,0.012393951,0.4125633239746094,0.6437225341796875
10x_2025-05-15_02-05-00.tif,10,10x,27,1536,3072,0.93798447,0.7789688,0.33743286,0.0063438416,0.42801666259765625,0.64410400390625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,0,0,0,0.09063339,0.021278381,0.0009841919,0.0,0.9054718017578125,0.101226806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,1,0,512,0.059906006,0.018184662,0.0013160706,0.0,0.9458656311035156,0.050632476806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,2,0,1024,0.050178528,0.018226624,0.0014533997,0.0,0.9506263732910156,0.038722991943359375
