loss,accuracy,jacard_coef,dice_coef,val_loss,val_accuracy,val_jacard_coef,val_dice_coef,lr
0.5788372755050659,0.5431118011474609,0.11760111153125763,0.20938684046268463,0.6027052402496338,0.9077038764953613,0.08169324696063995,0.1510469764471054,0.0002
0.5737261176109314,0.5913770198822021,0.12041610479354858,0.2139548808336258,0.6814543604850769,0.8905138969421387,0.0321882888674736,0.06236902251839638,0.0002
0.5569875240325928,0.5667721033096313,0.13370704650878906,0.23543238639831543,0.7476866245269775,0.8799309730529785,0.006612137425690889,0.013137409463524818,0.0002
0.562064528465271,0.6200541853904724,0.13097217679023743,0.23057565093040466,0.7677569389343262,0.868098258972168,0.00436971802264452,0.008701412938535213,0.0002
0.5626362562179565,0.5176360011100769,0.13103358447551727,0.22891120612621307,0.793964684009552,0.9169735908508301,0.0011413352331146598,0.0022800681181252003,0.0002
0.5628341436386108,0.5044400691986084,0.13099104166030884,0.2301669865846634,0.8088613748550415,0.8753194808959961,0.0019372334936633706,0.0038669761270284653,0.0002
0.5584427118301392,0.5912198424339294,0.13348843157291412,0.2342989146709442,0.7349596619606018,0.9239163398742676,0.004430506844073534,0.008821927942335606,1e-04
0.5455014705657959,0.6215878129005432,0.14634035527706146,0.2543290853500366,0.7292556166648865,0.9239163398742676,0.005543199833482504,0.011025285348296165,1e-04
0.547069251537323,0.5929332971572876,0.1420341581106186,0.24750950932502747,0.7280468940734863,0.901130199432373,0.009022597223520279,0.01788383722305298,1e-04
0.5535804629325867,0.6027411818504333,0.13865262269973755,0.24221134185791016,0.7248439192771912,0.8691778182983398,0.01403032522648573,0.02767239697277546,1e-04
0.5475926995277405,0.593997597694397,0.14468948543071747,0.25134366750717163,0.7003114819526672,0.8719162940979004,0.02466604858636856,0.04814456030726433,1e-04
0.5551375150680542,0.5872064232826233,0.13598589599132538,0.2389298975467682,0.679818868637085,0.8546886444091797,0.038047339767217636,0.07330559939146042,5e-05
0.5470101237297058,0.5855475068092346,0.1429968774318695,0.24981386959552765,0.6590328216552734,0.9008560180664062,0.043673109263181686,0.08369116485118866,5e-05
0.5523518323898315,0.5629660487174988,0.1396544724702835,0.24360179901123047,0.6496274471282959,0.8723964691162109,0.05332991108298302,0.10125965625047684,5e-05
0.5621554255485535,0.5758606791496277,0.12802042067050934,0.2259518951177597,0.6491107940673828,0.9234013557434082,0.04608205333352089,0.08810409158468246,5e-05
0.551536500453949,0.6034361720085144,0.13953280448913574,0.24445168673992157,0.6321346163749695,0.8795208930969238,0.06337390094995499,0.11919401586055756,5e-05
0.5473025441169739,0.6233463287353516,0.144157275557518,0.25102776288986206,0.6298918128013611,0.8753166198730469,0.06531289219856262,0.12261729687452316,2.5e-05
0.5508275628089905,0.59225994348526,0.14006361365318298,0.24477525055408478,0.6364970803260803,0.9023427963256836,0.057235829532146454,0.10827447474002838,2.5e-05
0.5458428859710693,0.5830115079879761,0.14407525956630707,0.2506828010082245,0.6387407183647156,0.9078373908996582,0.05498110130429268,0.10423144698143005,2.5e-05
0.5454022288322449,0.5753645300865173,0.1474873274564743,0.25547194480895996,0.6319392919540405,0.8869476318359375,0.0623280331492424,0.11734234541654587,2.5e-05
0.5492308139801025,0.5997020602226257,0.14177320897579193,0.24681635200977325,0.6215996742248535,0.8608584403991699,0.072606161236763,0.13538271188735962,2.5e-05
