image,dilution,dilution_label,n_tiles,mean_density_threshold,median_density_threshold,std_density_threshold,mean_density_clahe_otsu_pred,median_density_clahe_otsu_pred,std_density_clahe_otsu_pred,mean_density_clahe_otsu_orig,median_density_clahe_otsu_orig,std_density_clahe_otsu_orig
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,28,0.0129646575,0.013017654,0.0015255113,0.946582521711077,0.96185302734375,0.037534346104201206,0.845320429120745,0.9580230712890625,0.14180534542319942
10x_2025-05-15_02-05-00.tif,10,10x,28,0.83525985,0.8426151,0.03182261,0.3870534896850586,0.38233375549316406,0.02353678445446309,0.348517690386091,0.3435497283935547,0.023287283954353356
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,28,0.017676353,0.017326355,0.0038368423,0.9317537035260882,0.9482460021972656,0.03823672616526649,0.9209034783499581,0.9588451385498047,0.08016726990924887
160x_2025-05-15_02-05-00.tif,160,160x,28,0.2808805,0.2661171,0.059188522,0.5538746970040458,0.5543346405029297,0.021663308225185487,0.6821126937866211,0.6926059722900391,0.03667701822973751
20x_2025-05-15_02-05-00.tif,20,20x,28,0.7833039,0.78868675,0.02602228,0.39610358646937777,0.3910064697265625,0.029326797257119244,0.43847247532435824,0.4394092559814453,0.013841909826065054
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,28,0.0029227394,0.002872467,0.00089124154,0.7425680160522461,0.7285861968994141,0.09460171965284427,0.557213374546596,0.5533103942871094,0.06194709921374922
320x_2025-05-15_02-05-00.tif,320,320x,28,0.09717859,0.091594696,0.021321783,0.7391213008335659,0.7348098754882812,0.02670323002011016,0.8230273383004325,0.8376884460449219,0.04235580439565711
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,28,0.0060338974,0.005712509,0.0018562147,0.8903318132672992,0.9246234893798828,0.08844068402562864,0.607588495526995,0.6005706787109375,0.05096433475243512
640x_2025-05-16_00-59-00_002.tif,640,640x,28,0.04706437,0.041971207,0.01710148,0.8581778662545341,0.8712368011474609,0.049508949318718735,0.8934973308018276,0.9008331298828125,0.02653222763507301
80x_2_2025-05-22_14-48-00.tif,80,80x,28,0.55119896,0.5490551,0.040157575,0.49504593440464567,0.496185302734375,0.0053006416978822555,0.5522336959838867,0.5534210205078125,0.006725809414984984
